"TOA5","Kanga_Sap03F","CR1000","33602","CR1000.Std.19","CPU:UTS_SAP02_Dendro24hrMinMaxHMP45.CR1","31416","DendroTenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Dendro_Avg(1)","Dendro_Avg(2)","Dendro_Avg(3)","Dendro_Avg(4)"
"TS","RN","Volts","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg"
"2012-07-17 12:40:00",6742,12.55,1922.784,1789.564,2067.128,3221.61
"2012-07-17 12:50:00",6743,12.27,1922.507,1790.116,2067.31,3222.48
"2012-07-17 13:00:00",6744,12.42,1922.476,1789.839,2067.862,3222.945
"2012-07-17 13:10:00",6745,12.5,1921.117,1789.394,2067.348,3221.126
"2012-07-17 13:20:00",6746,12.42,1921.05,1788.3,2067.155,3220.134
"2012-07-17 13:30:00",6747,12.41,1921.41,1788.5,2066.865,3220.738
"2012-07-17 13:40:00",6748,12.41,1921.58,1788.658,2067.047,3220.955
"2012-07-17 13:50:00",6749,12.35,1921.629,1788.636,2067.779,3221.038
"2012-07-17 14:00:00",6750,12.4,1921.305,1788.04,2066.981,3220.724
"2012-07-17 14:10:00",6751,12.18,1921.039,1787.366,2066.783,3219.783
"2012-07-17 14:20:00",6752,11.92,1920.294,1787.368,2066.784,3219.717
"2012-07-17 14:30:00",6753,11.93,1920.294,1787.368,2066.785,3219.718
"2012-07-17 14:40:00",6754,11.96,1920.294,1787.368,2066.785,3219.718
"2012-07-17 14:50:00",6755,11.84,1920.294,1787.368,2066.785,3219.718
"2012-07-17 15:00:00",6756,11.84,1920.294,1786.758,2066.785,3219.582
"2012-07-17 15:10:00",6757,11.78,1919.955,1786.079,2066.785,3218.361
"2012-07-17 15:20:00",6758,11.77,1919.141,1786.011,2066.785,3218.361
"2012-07-17 15:30:00",6759,11.84,1919.141,1786.011,2066.785,3218.361
"2012-07-17 15:40:00",6760,11.77,1919.006,1786.011,2066.785,3218.361
"2012-07-17 15:50:00",6761,11.72,1918.938,1786.011,2066.785,3218.361
"2012-07-17 16:00:00",6762,11.71,1919.345,1786.011,2066.785,3218.361
"2012-07-17 16:10:00",6763,11.71,1920.319,1786.035,2067.015,3218.403
"2012-07-17 16:20:00",6764,11.7,1920.498,1786.201,2067.75,3218.702
"2012-07-17 16:30:00",6765,11.69,1920.715,1786.403,2068.526,3219.067
"2012-07-17 16:40:00",6766,11.68,1921.104,1786.765,2068.946,3219.719
"2012-07-17 16:50:00",6767,11.67,1921.364,1787.006,2069.157,3220.154
"2012-07-17 17:00:00",6768,11.67,1921.524,1787.155,2069.465,3220.422
"2012-07-17 17:10:00",6769,11.66,1921.575,1787.203,2069.521,3220.509
"2012-07-17 17:20:00",6770,11.66,1921.591,1787.217,2069.538,3220.535
"2012-07-17 17:30:00",6771,11.66,1921.595,1787.221,2069.542,3220.542
"2012-07-17 17:40:00",6772,11.65,1921.597,1787.223,2069.543,3220.544
"2012-07-17 17:50:00",6773,11.65,1921.61,1787.235,2069.558,3220.566
"2012-07-17 18:00:00",6774,11.65,1922.057,1787.399,2069.748,3220.862
"2012-07-17 18:10:00",6775,11.64,1922.895,1787.735,2070.137,3221.468
"2012-07-17 18:20:00",6776,11.64,1923.866,1788.197,2070.672,3222.3
"2012-07-17 18:30:00",6777,11.64,1924.181,1788.364,2070.865,3222.6
"2012-07-17 18:40:00",6778,11.64,1924.236,1788.414,2070.923,3222.691
"2012-07-17 18:50:00",6779,11.64,1924.253,1788.43,2070.941,3222.72
"2012-07-17 19:00:00",6780,11.63,1924.258,1788.434,2070.947,3222.728
"2012-07-17 19:10:00",6781,11.63,1924.259,1788.436,2070.948,3222.731
"2012-07-17 19:20:00",6782,11.63,1924.259,1788.504,2070.949,3222.731
"2012-07-17 19:30:00",6783,11.63,1924.259,1788.708,2070.949,3222.731
"2012-07-17 19:40:00",6784,11.62,1924.259,1788.572,2070.949,3222.731
"2012-07-17 19:50:00",6785,11.62,1924.259,1788.911,2070.949,3222.731
"2012-07-17 20:00:00",6786,11.62,1924.259,1789.251,2070.949,3222.731
"2012-07-17 20:10:00",6787,11.62,1924.259,1789.183,2070.949,3222.731
"2012-07-17 20:20:00",6788,11.62,1924.384,1789.639,2071.083,3222.941
"2012-07-17 20:30:00",6789,11.61,1924.525,1789.77,2071.235,3223.177
"2012-07-17 20:40:00",6790,11.61,1924.65,1790.021,2071.369,3223.385
"2012-07-17 20:50:00",6791,11.61,1924.756,1790.256,2071.483,3223.564
"2012-07-17 21:00:00",6792,11.61,1924.967,1790.452,2071.71,3223.916
"2012-07-17 21:10:00",6793,11.61,1925.121,1790.596,2071.876,3224.175
"2012-07-17 21:20:00",6794,11.6,1925.337,1790.796,2072.108,3224.536
"2012-07-17 21:30:00",6795,11.6,1925.48,1790.929,2072.262,3224.775
"2012-07-17 21:40:00",6796,11.6,1925.54,1790.986,2072.327,3224.877
"2012-07-17 21:50:00",6797,11.6,1925.559,1791.003,2072.347,3224.908
"2012-07-17 22:00:00",6798,11.6,1925.564,1791.008,2072.353,3224.917
"2012-07-17 22:10:00",6799,11.6,1925.566,1791.009,2072.355,3224.92
"2012-07-17 22:20:00",6800,11.59,1925.566,1791.009,2072.355,3224.92
"2012-07-17 22:30:00",6801,11.59,1925.566,1791.009,2072.355,3224.92
"2012-07-17 22:40:00",6802,11.59,1925.541,1790.986,2072.328,3224.878
"2012-07-17 22:50:00",6803,11.59,1925.421,1790.875,2072.199,3224.677
"2012-07-17 23:00:00",6804,11.59,1925.248,1790.714,2072.013,3224.455
"2012-07-17 23:10:00",6805,11.59,1925.106,1790.581,2071.86,3224.421
"2012-07-17 23:20:00",6806,11.59,1925.051,1790.53,2071.8,3224.125
"2012-07-17 23:30:00",6807,11.58,1925.031,1790.511,2071.779,3225.11
"2012-07-17 23:40:00",6808,11.58,1925.043,1790.523,2071.792,3225.402
"2012-07-17 23:50:00",6809,11.58,1925.056,1790.535,2071.806,3225.425
"2012-07-18 00:00:00",6810,11.58,1925.194,1790.663,2071.955,3225.656
"2012-07-18 00:10:00",6811,11.58,1925.144,1790.888,2071.9,3225.572
"2012-07-18 00:20:00",6812,11.58,1925.295,1791.917,2071.99,3225.711
"2012-07-18 00:30:00",6813,11.58,1925.805,1791.828,2071.808,3225.428
"2012-07-18 00:40:00",6814,11.57,1926.174,1791.733,2071.62,3225.203
