"TOA5","Kanga_Sap10A","CR1000","30701","CR1000.Std.18","CPU:UTS_SAP02_10A_Dendro24hrMinMaxHMP45.cr1","56927","Ten_Min_Temp_RH"
"TIMESTAMP","RECORD","AirTC","RH","e_Sat","e_kPa"
"TS","RN","Deg C","%","kPa","kPa"
"","","Smp","Smp","Smp","Smp"
"2012-05-31 15:00:00",0,32.63866,52.97479,4.929396,2.611337
"2012-05-31 15:10:00",1,33.71429,52.80672,5.235747,2.764826
"2012-05-31 15:20:00",2,34.21849,52.67227,5.384943,2.836372
"2012-05-31 15:30:00",3,37.37816,52.53782,6.406541,3.365857
"2012-05-31 15:40:00",4,36.23613,52.43755,6.019467,3.156461
"2012-05-31 15:50:00",5,39.19357,52.43716,7.066185,3.705307
"2012-05-31 16:00:00",6,39.86563,52.40342,7.324853,3.838473
"2012-05-31 16:10:00",7,41.27734,52.13447,7.894963,4.115997
"2012-05-31 16:20:00",8,43.36137,51.9664,8.806457,4.576398
"2012-05-31 16:30:00",9,44.16809,51.73111,9.182898,4.750414
"2012-05-31 16:40:00",10,44.30311,51.52977,9.247237,4.76508
"2012-05-31 16:50:00",11,47.87072,50.86014,11.09398,5.642414
"2012-05-31 17:00:00",12,50.76504,50.1897,12.81723,6.43293
"2012-05-31 17:10:00",13,51.78071,49.65572,13.47412,6.690672
"2012-05-31 17:20:00",14,53.63735,49.08817,14.74983,7.240423
"2012-05-31 17:30:00",15,54.54741,48.68586,15.41208,7.503504
"2012-05-31 17:40:00",16,55.79514,48.28425,16.36138,7.899969
"2012-05-31 17:50:00",17,56.23347,47.88136,16.70656,7.999328
"2012-05-31 18:00:00",18,56.94003,47.74708,17.2761,8.248832
"2012-05-31 18:10:00",19,57.17549,47.54538,17.46956,8.305967
"2012-05-31 18:20:00",20,57.71352,47.47815,17.91858,8.507412
"2012-05-31 18:30:00",21,58.35941,48.12045,18.47065,8.888159
"2012-05-31 18:40:00",22,58.39944,48.59439,18.50534,8.992557
"2012-05-31 18:50:00",23,58.33428,49.03262,18.4489,9.045978
"2012-05-31 19:00:00",24,58.33504,49.06663,18.44956,9.052575
"2012-05-31 19:10:00",25,58.36884,49.06672,18.47881,9.066946
"2012-05-31 19:20:00",26,58.30165,49.2349,18.42069,9.069407
"2012-05-31 19:30:00",27,58.25918,49.2641,18.38403,9.056726
"2012-05-31 19:40:00",28,58.19001,49.26314,18.32446,9.027205
"2012-05-31 19:50:00",29,58.2198,49.36209,18.35009,9.057989
"2012-05-31 20:00:00",30,58.01665,49.09239,18.17589,8.922981
"2012-05-31 20:10:00",31,57.94907,48.9241,18.11825,8.864189
"2012-05-31 20:20:00",32,57.9826,48.75592,18.14683,8.847652
"2012-05-31 20:30:00",33,58.01619,48.35241,18.1755,8.788291
"2012-05-31 20:40:00",34,58.04981,48.11704,18.20423,8.759336
"2012-05-31 20:50:00",35,57.91531,47.74717,18.08952,8.637234
"2012-05-31 21:00:00",36,58.18514,47.68032,18.32028,8.735166
"2012-05-31 21:10:00",37,58.28828,47.47966,18.40914,8.740597
"2012-05-31 21:20:00",38,58.42905,47.41543,18.53103,8.786567
"2012-05-31 21:30:00",39,58.53368,47.34997,18.62207,8.817545
"2012-05-31 21:40:00",40,58.70279,47.45132,18.77002,8.906625
"2012-05-31 21:50:00",41,58.77084,47.45171,18.82985,8.935083
"2012-05-31 22:00:00",42,58.80569,47.51955,18.86055,8.962447
"2012-05-31 22:10:00",43,58.77235,47.55332,18.83117,8.954845
"2012-05-31 22:20:00",44,58.83971,47.45248,18.89055,8.964033
"2012-05-31 22:30:00",45,58.87337,47.45249,18.92028,8.978146
"2012-05-31 22:40:00",46,58.87337,47.41886,18.92028,8.971782
"2012-05-31 22:50:00",47,58.87337,47.48612,18.92028,8.984509
"2012-05-31 23:00:00",48,58.907,47.58701,18.95003,9.017752
"2012-05-31 23:10:00",49,58.83974,47.58701,18.89058,8.989462
"2012-05-31 23:20:00",50,58.87337,47.62064,18.92028,9.00996
"2012-05-31 23:30:00",51,58.87337,47.7888,18.92028,9.041775
"2012-05-31 23:40:00",52,58.87164,47.82159,18.91875,9.047247
"2012-05-31 23:50:00",53,58.77026,47.88861,18.82933,9.017105
"2012-06-01 00:00:00",54,58.83784,47.9224,18.88891,9.052016
"2012-06-01 00:10:00",55,58.86504,48.02016,18.91293,9.082018
"2012-06-01 00:20:00",56,58.79968,48.02108,18.85525,9.054495
"2012-06-01 00:30:00",57,58.7942,48.08567,18.85042,9.064348
