"TOA5","Kanga_Sap03A","CR1000","33596","CR1000.Std.19","CPU:UTS_SAP02_3A_Dendro24hrMinMaxHMP45.cr1","46354","DendroTenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Dendro_Avg(1)","Dendro_Avg(2)","Dendro_Avg(3)","Dendro_Avg(4)"
"TS","RN","Volts","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg"
"2012-09-07 16:20:00",14256,12.51,1151.342,1379.659,1223.572,2775.282
"2012-09-07 16:30:00",14257,12.48,1150.453,1379.044,1223.23,2775.555
"2012-09-07 16:40:00",14258,12.45,1150.198,1378.874,1222.501,2775.491
"2012-09-07 16:50:00",14259,12.44,1150.239,1379.813,1224.05,2775.591
"2012-09-07 17:00:00",14260,12.4,1150.193,1379.074,1223.249,2775.344
"2012-09-07 17:10:00",14261,12.38,1150.163,1379.654,1223.423,2775.409
"2012-09-07 17:20:00",14262,12.36,1150.343,1379.911,1223.742,2775.923
"2012-09-07 17:30:00",14263,12.35,1151.101,1380.054,1224.022,2776.347
"2012-09-07 17:40:00",14264,12.34,1151.465,1380.217,1224.386,2775.715
"2012-09-07 17:50:00",14265,12.33,1151.723,1380.773,1225.2,2776.418
"2012-09-07 18:00:00",14266,12.33,1151.806,1381.489,1225.152,2777.577
"2012-09-07 18:10:00",14267,12.33,1151.848,1381.607,1225.606,2777.266
"2012-09-07 18:20:00",14268,12.32,1152.686,1381.354,1226.309,2777.856
"2012-09-07 18:30:00",14269,12.31,1153.239,1381.497,1225.63,2778.21
"2012-09-07 18:40:00",14270,12.31,1153.24,1381.978,1226.521,2778.556
"2012-09-07 18:50:00",14271,12.31,1153.172,1382.047,1225.906,2778.831
"2012-09-07 19:00:00",14272,12.31,1153.241,1382.184,1226.864,2778.42
"2012-09-07 19:10:00",14273,12.31,1153.446,1382.526,1226.864,2778.831
"2012-09-07 19:20:00",14274,12.31,1153.378,1382.594,1226.727,2779.104
"2012-09-07 19:30:00",14275,12.3,1153.788,1383.141,1227.137,2779.104
"2012-09-07 19:40:00",14276,12.3,1154.267,1383.005,1226.727,2778.967
"2012-09-07 19:50:00",14277,12.29,1154.062,1382.526,1227.069,2778.831
"2012-09-07 20:00:00",14278,12.29,1154.472,1382.868,1227.137,2778.694
"2012-09-07 20:10:00",14279,12.29,1154.472,1382.868,1227.274,2778.694
"2012-09-07 20:20:00",14280,12.28,1154.609,1383.141,1227.685,2779.104
"2012-09-07 20:30:00",14281,12.27,1154.609,1382.115,1227.206,2778.967
"2012-09-07 20:40:00",14282,12.27,1154.609,1382.389,1227.479,2779.515
"2012-09-07 20:50:00",14283,12.27,1154.472,1381.705,1227.548,2779.241
"2012-09-07 21:00:00",14284,12.26,1154.472,1382.594,1227.958,2778.968
"2012-09-07 21:10:00",14285,12.26,1154.678,1382.047,1226.864,2779.31
"2012-09-07 21:20:00",14286,12.26,1154.746,1381.91,1227.958,2779.378
"2012-09-07 21:30:00",14287,12.27,1154.814,1382.662,1227.411,2779.173
"2012-09-07 21:40:00",14288,12.26,1155.088,1382.731,1228.164,2779.789
"2012-09-07 21:50:00",14289,12.25,1155.499,1383.005,1228.711,2779.926
"2012-09-07 22:00:00",14290,12.24,1154.951,1382.868,1228.506,2779.926
"2012-09-07 22:10:00",14291,12.24,1155.362,1382.662,1228.643,2779.926
"2012-09-07 22:20:00",14292,12.24,1154.814,1382.457,1227.753,2779.926
"2012-09-07 22:30:00",14293,12.24,1155.567,1382.594,1228.437,2780.199
"2012-09-07 22:40:00",14294,12.24,1155.156,1382.457,1228.574,2779.857
"2012-09-07 22:50:00",14295,12.24,1155.293,1382.662,1228.164,2779.789
"2012-09-07 23:00:00",14296,12.23,1155.43,1382.457,1228.027,2779.789
"2012-09-07 23:10:00",14297,12.24,1155.772,1382.594,1227.89,2780.268
"2012-09-07 23:20:00",14298,12.23,1155.772,1383.005,1228.301,2779.926
"2012-09-07 23:30:00",14299,12.23,1155.909,1382.594,1228.643,2779.857
"2012-09-07 23:40:00",14300,12.23,1155.567,1382.252,1228.232,2780.062
"2012-09-07 23:50:00",14301,12.23,1155.43,1382.252,1228.437,2779.857
"2012-09-08 00:00:00",14302,12.23,1155.978,1382.731,1228.711,2780.268
"2012-09-08 00:10:00",14303,12.23,1155.909,1383.073,1229.395,2780.336
"2012-09-08 00:20:00",14304,12.22,1155.841,1382.594,1229.327,2780.473
"2012-09-08 00:30:00",14305,12.22,1155.978,1383.073,1229.532,2780.131
"2012-09-08 00:40:00",14306,12.22,1155.841,1383.005,1229.122,2780.062
"2012-09-08 00:50:00",14307,12.22,1155.841,1382.868,1229.532,2780.199
"2012-09-08 01:00:00",14308,12.22,1155.978,1382.868,1229.122,2779.926
"2012-09-08 01:10:00",14309,12.22,1155.841,1383.005,1229.19,2780.473
"2012-09-08 01:20:00",14310,12.22,1155.841,1382.868,1229.327,2780.199
"2012-09-08 01:30:00",14311,12.21,1155.704,1382.868,1229.395,2780.199
"2012-09-08 01:40:00",14312,12.21,1155.567,1382.526,1228.848,2780.062
"2012-09-08 01:50:00",14313,12.21,1155.499,1382.594,1229.053,2780.268
"2012-09-08 02:00:00",14314,12.2,1155.772,1383.005,1229.532,2780.542
"2012-09-08 02:10:00",14315,12.2,1155.635,1383.005,1229.464,2780.199
"2012-09-08 02:20:00",14316,12.2,1155.772,1383.005,1229.19,2780.336
"2012-09-08 02:30:00",14317,12.2,1155.088,1383.005,1228.985,2780.61
"2012-09-08 02:40:00",14318,12.2,1155.02,1383.005,1229.532,2780.268
"2012-09-08 02:50:00",14319,12.2,1154.883,1383.141,1229.532,2780.199
"2012-09-08 03:00:00",14320,12.19,1154.678,1383.141,1229.395,2780.473
"2012-09-08 03:10:00",14321,12.19,1154.609,1383.073,1228.78,2780.268
"2012-09-08 03:20:00",14322,12.18,1154.656,1382.924,1229.104,2780.518
"2012-09-08 03:30:00",14323,12.18,1154.812,1383.316,1229.68,2780.688
"2012-09-08 03:40:00",14324,12.18,1154.906,1383.141,1229.638,2780.612
"2012-09-08 03:50:00",14325,12.18,1155.007,1383.454,1229.604,2780.964
"2012-09-08 04:00:00",14326,12.18,1154.943,1383.405,1229.546,2781.141
"2012-09-08 04:10:00",14327,12.17,1155.256,1383.588,1229.929,2781.098
"2012-09-08 04:20:00",14328,12.17,1155.09,1383.417,1229.557,2781.166
