"TIMESTAMP","RECORD","Batt_Volt_Avg","Dendro_Avg.1.","Dendro_Avg.2.","Dendro_Avg.3.","Dendro_Avg.4."
2012-02-04 10:20:00,534,13.14,1813.863,1541.323,2264.027,1918.268
2012-02-04 10:30:00,535,13.26,1813.624,1541.121,2263.73,1918.016
2012-02-04 10:40:00,536,13.18,1813.398,1540.928,2263.448,1917.777
2012-02-04 10:50:00,537,13.22,1813.306,1540.85,2263.332,1917.679
2012-02-04 11:00:00,538,13.14,1813.278,1540.827,2263.298,1917.65
2012-02-04 11:10:00,539,13.3,1813.27,1540.82,2263.288,1917.642
2012-02-04 11:20:00,540,13.4,1812.997,1540.818,2263.285,1917.64
2012-02-04 11:30:00,541,13.07,1811.912,1540.818,2263.285,1917.639
2012-02-04 11:40:00,542,13.1,1811.98,1540.818,2263.285,1917.639
2012-02-04 11:50:00,543,13.25,1811.912,1540.818,2263.285,1917.639
2012-02-04 12:00:00,544,13.59,1812.183,1540.818,2263.285,1917.639
2012-02-04 12:10:00,545,13.46,1811.912,1540.818,2263.285,1917.639
2012-02-04 12:20:00,546,13.54,1811.777,1542.037,2263.285,1917.639
2012-02-04 12:30:00,547,13.33,1810.624,1542.173,2263.285,1917.639
2012-02-04 12:40:00,548,13.36,1810.557,1542.173,2263.285,1917.639
2012-02-04 12:50:00,549,13.46,1810.557,1542.173,2263.285,1917.639
2012-02-04 13:00:00,550,13.69,1810.557,1542.173,2263.285,1917.639
2012-02-04 13:10:00,551,13.38,1810.557,1542.173,2263.285,1917.639
2012-02-04 13:20:00,552,13.67,1810.557,1542.173,2263.285,1917.639
2012-02-04 13:30:00,553,13.89,1810.421,1542.173,2263.285,1917.639
2012-02-04 13:40:00,554,13.65,1809.405,1542.173,2263.285,1917.639
2012-02-04 13:50:00,555,13.98,1809.405,1542.173,2263.285,1917.639
2012-02-04 14:00:00,556,14.24,1809.201,1542.918,2263.285,1917.639
2012-02-04 14:10:00,557,14.14,1809.201,1542.851,2263.285,1917.639
2012-02-04 14:20:00,558,13.81,1809.201,1543.122,2263.285,1917.639
2012-02-04 14:30:00,559,13.71,1809.201,1542.918,2263.285,1917.639
2012-02-04 14:40:00,560,13.51,1809.201,1542.986,2263.285,1917.639
2012-02-04 14:50:00,561,13.42,1808.93,1543.393,2263.285,1917.639
2012-02-04 15:00:00,562,13.35,1807.846,1543.325,2263.285,1917.639
2012-02-04 15:10:00,563,13.35,1807.846,1543.393,2262.675,1917.639
2012-02-04 15:20:00,564,13.36,1807.846,1543.054,2262.065,1917.639
2012-02-04 15:30:00,565,13.37,1807.846,1542.851,2261.929,1917.639
2012-02-04 15:40:00,566,13.33,1807.846,1543.325,2261.929,1917.639
2012-02-04 15:50:00,567,13.22,1807.846,1543.393,2261.929,1917.639
2012-02-04 16:00:00,568,13.16,1807.846,1543.325,2261.929,1917.639
2012-02-04 16:10:00,569,13.16,1807.846,1543.325,2261.929,1917.639
2012-02-04 16:20:00,570,13.14,1807.987,1543.649,2262.106,1917.789
2012-02-04 16:30:00,571,13.16,1808.205,1543.768,2262.379,1918.021
2012-02-04 16:40:00,572,13.13,1808.37,1543.908,2262.585,1918.195
2012-02-04 16:50:00,573,13.1,1808.444,1543.972,2262.678,1918.274
2012-02-04 17:00:00,574,13.04,1808.56,1544.002,2262.823,1918.396
2012-02-04 17:10:00,575,13,1808.632,1544.132,2262.913,1918.473
2012-02-04 17:20:00,576,13,1808.832,1544.099,2263.163,1918.685
2012-02-04 17:30:00,577,12.99,1808.944,1544.262,2263.303,1918.804
2012-02-04 17:40:00,578,12.98,1809.008,1544.385,2263.384,1918.872
2012-02-04 17:50:00,579,12.94,1809.052,1544.287,2263.439,1918.919
2012-02-04 18:00:00,580,12.93,1809.065,1544.163,2263.455,1918.933
2012-02-04 18:10:00,581,12.92,1809.069,1544.234,2263.46,1918.937
2012-02-04 18:20:00,582,12.92,1809.07,1544.031,2263.461,1918.938
2012-02-04 18:30:00,583,12.91,1809.07,1544.167,2263.461,1918.938
2012-02-04 18:40:00,584,12.89,1809.07,1544.099,2263.461,1918.938
2012-02-04 18:50:00,585,12.88,1809.07,1544.031,2263.461,1918.938
2012-02-04 19:00:00,586,12.86,1809.07,1543.896,2263.461,1918.938
2012-02-04 19:10:00,587,12.86,1809.07,1543.963,2263.461,1918.938
2012-02-04 19:20:00,588,12.85,1809.07,1544.167,2263.461,1918.938
2012-02-04 19:30:00,589,12.85,1809.07,1544.574,2263.461,1918.938
2012-02-04 19:40:00,590,12.85,1809.07,1544.438,2263.461,1918.938
2012-02-04 19:50:00,591,12.84,1809.07,1543.896,2263.461,1918.938
2012-02-04 20:00:00,592,12.84,1809.07,1543.217,2263.122,1918.938
2012-02-04 20:10:00,593,12.83,1809.07,1543.217,2263.258,1918.938
2012-02-04 20:20:00,594,12.83,1809.07,1543.217,2262.715,1918.938
2012-02-04 20:30:00,595,12.82,1809.07,1543.217,2262.105,1918.87
2012-02-04 20:40:00,596,12.82,1809.07,1543.217,2262.105,1918.463
2012-02-04 20:50:00,597,12.82,1809.07,1543.217,2262.105,1917.921
2012-02-04 21:00:00,598,12.81,1809.07,1543.217,2262.105,1917.649
2012-02-04 21:10:00,599,12.81,1809.002,1543.217,2262.105,1917.581
2012-02-04 21:20:00,600,12.8,1808.663,1543.217,2262.105,1917.581
2012-02-04 21:30:00,601,12.8,1808.053,1543.217,2262.105,1917.581
2012-02-04 21:40:00,602,12.79,1807.898,1543.259,2262.166,1917.633
2012-02-04 21:50:00,603,12.79,1807.92,1543.335,2262.278,1917.728
2012-02-04 22:00:00,604,12.79,1807.964,1543.431,2262.418,1917.847
2012-02-04 22:10:00,605,12.78,1808.113,1543.558,2262.605,1918.005
2012-02-04 22:20:00,606,12.78,1808.19,1543.624,2262.701,1918.087
2012-02-04 22:30:00,607,12.77,1808.274,1543.696,2262.739,1918.176
2012-02-04 22:40:00,608,12.77,1808.383,1543.789,2262.4,1918.292
2012-02-04 22:50:00,609,12.76,1808.524,1543.909,2261.83,1918.441
2012-02-04 23:00:00,610,12.76,1808.648,1544.015,2261.917,1918.572
2012-02-04 23:10:00,611,12.76,1808.776,1544.124,2262.078,1918.709
2012-02-04 23:20:00,612,12.75,1808.882,1544.215,2262.21,1918.821
2012-02-04 23:30:00,613,12.75,1808.923,1544.25,2262.261,1918.865
2012-02-04 23:40:00,614,12.74,1808.935,1544.26,2262.276,1918.877
2012-02-04 23:50:00,615,12.74,1808.939,1544.263,2262.281,1918.881
2012-02-05 00:00:00,616,12.74,1808.94,1544.264,2262.282,1918.882
2012-02-05 00:10:00,617,12.73,1808.94,1544.264,2262.282,1918.882
2012-02-05 00:20:00,618,12.73,1808.94,1543.992,2262.282,1918.882
2012-02-05 00:30:00,619,12.72,1808.94,1543.721,2262.282,1918.882
2012-02-05 00:40:00,620,12.72,1808.94,1543.178,2262.282,1918.882
2012-02-05 00:50:00,621,12.72,1808.94,1543.042,2262.282,1918.882
2012-02-05 01:00:00,622,12.71,1808.94,1542.974,2262.282,1918.882
2012-02-05 01:10:00,623,12.71,1808.94,1542.906,2262.282,1918.882
2012-02-05 01:20:00,624,12.71,1808.94,1542.906,2262.282,1918.882
2012-02-05 01:30:00,625,12.7,1808.94,1542.906,2262.282,1918.882
2012-02-05 01:40:00,626,12.7,1808.94,1542.906,2262.282,1918.882
2012-02-05 01:50:00,627,12.7,1808.94,1542.906,2262.282,1918.882
2012-02-05 02:00:00,628,12.69,1808.94,1542.906,2262.282,1918.882
2012-02-05 02:10:00,629,12.69,1808.94,1542.906,2262.282,1918.882
2012-02-05 02:20:00,630,12.69,1808.94,1542.906,2262.282,1918.882
2012-02-05 02:30:00,631,12.68,1808.94,1542.906,2262.282,1918.882
2012-02-05 02:40:00,632,12.68,1808.94,1542.906,2262.282,1918.882
2012-02-05 02:50:00,633,12.68,1808.94,1542.906,2262.282,1918.882
2012-02-05 03:00:00,634,12.67,1808.94,1542.906,2262.282,1918.882
2012-02-05 03:10:00,635,12.67,1808.94,1542.906,2262.282,1918.882
2012-02-05 03:20:00,636,12.67,1808.94,1542.906,2262.282,1918.882
2012-02-05 03:30:00,637,12.66,1808.94,1542.906,2262.282,1918.882
2012-02-05 03:40:00,638,12.66,1808.94,1542.906,2262.282,1918.882
2012-02-05 03:50:00,639,12.66,1808.94,1542.906,2262.282,1918.882
2012-02-05 04:00:00,640,12.66,1809.211,1542.906,2262.282,1918.882
2012-02-05 04:10:00,641,12.66,1810.026,1542.906,2262.282,1918.882
2012-02-05 04:20:00,642,12.65,1810.297,1542.906,2262.282,1918.882
2012-02-05 04:30:00,643,12.65,1810.297,1542.906,2262.282,1918.882
2012-02-05 04:40:00,644,12.64,1810.297,1542.906,2262.282,1918.882
2012-02-05 04:50:00,645,12.64,1810.297,1542.906,2262.282,1918.882
2012-02-05 05:00:00,646,12.64,1810.297,1542.906,2262.282,1918.882
2012-02-05 05:10:00,647,12.64,1810.297,1542.906,2262.282,1918.882
2012-02-05 05:20:00,648,12.63,1810.297,1542.906,2262.282,1918.882
2012-02-05 05:30:00,649,12.63,1810.297,1542.906,2262.282,1918.882
2012-02-05 05:40:00,650,12.63,1810.297,1542.906,2262.282,1918.882
2012-02-05 05:50:00,651,12.63,1810.297,1542.906,2262.282,1918.882
2012-02-05 06:00:00,652,12.63,1810.297,1542.906,2262.282,1918.882
2012-02-05 06:10:00,653,12.64,1810.297,1542.906,2262.282,1918.882
2012-02-05 06:20:00,654,12.64,1810.297,1542.906,2262.282,1918.882
2012-02-05 06:30:00,655,12.65,1810.297,1542.906,2262.282,1918.882
