"TOA5","Kanga_Sap03F","CR1000","33602","CR1000.Std.19","CPU:UTS_SAP02_3F_Dendro24hrMinMaxHMP45.cr1","11683","DendroTenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Dendro_Avg(1)","Dendro_Avg(2)","Dendro_Avg(3)","Dendro_Avg(4)"
"TS","RN","Volts","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg"
"2012-08-29 11:50:00",12906,12.55,1940.947,1826.313,2058.971,3315.867
"2012-08-29 12:00:00",12907,12.51,1940.936,1826.507,2058.214,3315.17
"2012-08-29 12:10:00",12908,12.83,1940.913,1826.621,2057.715,3315.131
"2012-08-29 12:20:00",12909,13.54,1941.014,1826.513,2057.687,3315.304
"2012-08-29 12:30:00",12910,13.77,1941.094,1825.646,2057.627,3315.14
"2012-08-29 12:40:00",12911,13.72,1940.881,1825.912,2057.545,3314.534
"2012-08-29 12:50:00",12912,13.05,1940.808,1825.504,2057.467,3313.866
"2012-08-29 13:00:00",12913,12.97,1940.695,1825.399,2057.348,3313.402
"2012-08-29 13:10:00",12914,12.76,1940.657,1825.363,2057.308,3313.405
"2012-08-29 13:20:00",12915,12.71,1940.442,1825.352,2057.295,3313.453
"2012-08-29 13:30:00",12916,12.72,1938.336,1825.349,2057.292,3313.312
"2012-08-29 13:40:00",12917,13.03,1937.928,1825.28,2057.291,3313.31
"2012-08-29 13:50:00",12918,13.96,1937.928,1825.348,2057.291,3313.31
"2012-08-29 14:00:00",12919,14.52,1937.928,1825.348,2057.291,3313.445
"2012-08-29 14:10:00",12920,14.53,1937.928,1825.144,2057.291,3313.31
"2012-08-29 14:20:00",12921,14.04,1937.928,1824.941,2057.291,3313.31
"2012-08-29 14:30:00",12922,14.01,1937.928,1823.991,2057.291,3313.31
"2012-08-29 14:40:00",12923,12.81,1937.928,1823.991,2057.291,3313.31
"2012-08-29 14:50:00",12924,13.13,1937.928,1823.991,2057.291,3313.31
"2012-08-29 15:00:00",12925,13.52,1937.928,1824.127,2057.291,3313.31
"2012-08-29 15:10:00",12926,12.97,1937.928,1823.991,2057.291,3313.31
"2012-08-29 15:20:00",12927,12.96,1937.928,1823.991,2057.291,3313.31
"2012-08-29 15:30:00",12928,12.78,1937.928,1823.991,2057.223,3313.31
"2012-08-29 15:40:00",12929,12.73,1937.928,1823.991,2057.291,3313.31
"2012-08-29 15:50:00",12930,12.67,1937.928,1823.991,2057.291,3313.31
"2012-08-29 16:00:00",12931,12.63,1937.928,1823.991,2057.291,3313.31
"2012-08-29 16:10:00",12932,12.61,1937.928,1823.991,2057.291,3313.31
"2012-08-29 16:20:00",12933,12.58,1937.928,1823.991,2057.291,3313.31
"2012-08-29 16:30:00",12934,12.58,1937.928,1823.991,2057.291,3313.31
"2012-08-29 16:40:00",12935,12.55,1937.928,1823.991,2057.291,3313.31
"2012-08-29 16:50:00",12936,12.54,1937.928,1823.991,2057.291,3313.31
"2012-08-29 17:00:00",12937,12.53,1937.928,1823.991,2057.291,3313.31
"2012-08-29 17:10:00",12938,12.52,1937.928,1823.991,2057.291,3313.31
"2012-08-29 17:20:00",12939,12.51,1937.928,1823.991,2057.291,3313.31
"2012-08-29 17:30:00",12940,12.5,1937.928,1823.991,2057.291,3313.31
"2012-08-29 17:40:00",12941,12.5,1937.928,1823.991,2057.494,3313.31
"2012-08-29 17:50:00",12942,12.49,1937.928,1823.991,2058.308,3313.377
"2012-08-29 18:00:00",12943,12.49,1937.97,1824.031,2058.691,3314.127
"2012-08-29 18:10:00",12944,12.49,1938.313,1824.353,2059.055,3315.324
"2012-08-29 18:20:00",12945,12.48,1938.672,1824.691,2059.437,3315.938
"2012-08-29 18:30:00",12946,12.48,1939.056,1825.052,2059.845,3316.595
"2012-08-29 18:40:00",12947,12.48,1939.188,1825.177,2059.985,3316.822
"2012-08-29 18:50:00",12948,12.47,1939.226,1825.213,2060.026,3316.886
"2012-08-29 19:00:00",12949,12.47,1939.237,1825.223,2060.038,3316.837
"2012-08-29 19:10:00",12950,12.47,1939.241,1825.227,2060.042,3316.912
"2012-08-29 19:20:00",12951,12.46,1939.242,1825.228,2060.042,3316.914
"2012-08-29 19:30:00",12952,12.46,1939.281,1825.264,2060.084,3316.641
"2012-08-29 19:40:00",12953,12.46,1939.577,1825.543,2060.398,3317.147
"2012-08-29 19:50:00",12954,12.46,1939.845,1825.796,2060.684,3317.268
"2012-08-29 20:00:00",12955,12.45,1940.24,1826.167,2061.103,3317.466
"2012-08-29 20:10:00",12956,12.45,1940.463,1826.377,2061.34,3317.645
"2012-08-29 20:20:00",12957,12.45,1940.53,1826.44,2061.411,3317.827
"2012-08-29 20:30:00",12958,12.45,1940.55,1826.459,2061.432,3317.793
"2012-08-29 20:40:00",12959,12.44,1940.556,1826.464,2061.439,3317.804
"2012-08-29 20:50:00",12960,12.44,1940.558,1826.466,2061.441,3317.807
"2012-08-29 21:00:00",12961,12.44,1940.558,1826.467,2061.441,3317.808
"2012-08-29 21:10:00",12962,12.43,1940.558,1826.467,2061.441,3317.808
"2012-08-29 21:20:00",12963,12.43,1940.558,1826.467,2061.441,3317.808
"2012-08-29 21:30:00",12964,12.43,1940.558,1826.467,2061.441,3317.808
"2012-08-29 21:40:00",12965,12.43,1940.558,1826.467,2061.441,3318.011
"2012-08-29 21:50:00",12966,12.42,1940.558,1826.467,2061.441,3318.147
"2012-08-29 22:00:00",12967,12.42,1940.558,1826.467,2061.441,3318.826
"2012-08-29 22:10:00",12968,12.42,1940.558,1826.467,2061.441,3319.03
"2012-08-29 22:20:00",12969,12.41,1940.626,1826.67,2061.441,3319.166
"2012-08-29 22:30:00",12970,12.41,1941.034,1827.078,2061.441,3319.166
"2012-08-29 22:40:00",12971,12.4,1941.713,1827.621,2061.441,3319.166
"2012-08-29 22:50:00",12972,12.4,1941.917,1827.825,2061.441,3319.166
"2012-08-29 23:00:00",12973,12.4,1941.917,1827.825,2061.441,3319.166
"2012-08-29 23:10:00",12974,12.39,1941.917,1827.825,2061.577,3319.166
"2012-08-29 23:20:00",12975,12.39,1941.917,1827.825,2062.12,3319.166
"2012-08-29 23:30:00",12976,12.38,1941.917,1827.825,2062.528,3319.166
"2012-08-29 23:40:00",12977,12.38,1941.917,1827.825,2062.188,3319.166
"2012-08-29 23:50:00",12978,12.38,1941.917,1827.825,2062.46,3319.234
