"TIMESTAMP","RECORD","Batt_Volt_Avg","Dendro_Avg.1.","Dendro_Avg.2.","Dendro_Avg.3.","Dendro_Avg.4."
2012-02-17 10:00:00,2433,13.35,2296.816,1963.189,2014.506,980.069
2012-02-17 10:10:00,2434,13.36,2297.71,1962.857,2014.435,979.9033
2012-02-17 10:20:00,2435,13.48,2297.435,1962.623,2013.925,979.7863
2012-02-17 10:30:00,2436,13.72,2297.286,1962.553,2013.043,979.7516
2012-02-17 10:40:00,2437,13.79,2297.241,1962.572,2012.523,979.761
2012-02-17 10:50:00,2438,13.69,2296.398,1962.544,2012.494,979.7471
2012-02-17 11:00:00,2439,13.55,2296.05,1962.593,2012.544,979.7715
2012-02-17 11:10:00,2440,13.78,2296.397,1962.889,2011.633,979.9193
2012-02-17 11:20:00,2441,13.65,2296.61,1963.071,2010.941,980.0101
2012-02-17 11:30:00,2442,13.24,2296.693,1963.143,2010.407,980.0456
2012-02-17 11:40:00,2443,13.12,2296.731,1962.095,2011.115,980.0619
2012-02-17 11:50:00,2444,13.06,2296.742,1961.834,2011.867,980.0664
2012-02-17 12:00:00,2445,13.03,2296.745,1960.216,2012.748,979.5951
2012-02-17 12:10:00,2446,13,2296.746,1959.271,2013.154,978.7175
2012-02-17 12:20:00,2447,12.97,2296.761,1959.149,2013.167,978.7241
2012-02-17 12:30:00,2448,12.94,2297.07,1959.413,2013.64,978.9232
2012-02-17 12:40:00,2449,12.92,2297.376,1959.674,2015.057,978.9861
2012-02-17 12:50:00,2450,12.93,2297.48,1959.762,2015.148,979.0303
2012-02-17 13:00:00,2451,13.01,2298.59,1959.787,2016.525,979.0428
2012-02-17 13:10:00,2452,13.11,2298.869,1959.795,2016.533,979.0467
2012-02-17 13:20:00,2453,13.08,2298.872,1959.797,2017.075,979.0477
2012-02-17 13:30:00,2454,13.14,2299.008,1960.135,2017.886,979.9937
2012-02-17 13:40:00,2455,13.24,2299.75,1960.338,2017.886,980.3989
2012-02-17 13:50:00,2456,13.26,2300.223,1961.149,2018.629,980.3989
2012-02-17 14:00:00,2457,13.23,2300.223,1961.149,2019.034,980.3989
2012-02-17 14:10:00,2458,13.18,2300.223,1961.149,2019.237,980.3989
2012-02-17 14:20:00,2459,13.11,2300.764,1961.149,2019.237,980.3989
2012-02-17 14:30:00,2460,13.09,2301.507,1961.149,2019.507,980.3989
2012-02-17 14:40:00,2461,13.09,2301.574,1961.959,2019.98,980.3989
2012-02-17 14:50:00,2462,13.14,2301.574,1962.432,2020.588,980.3989
2012-02-17 15:00:00,2463,13.29,2301.574,1962.365,2020.588,980.3989
2012-02-17 15:10:00,2464,13.36,2301.844,1962.365,2020.588,980.3989
2012-02-17 15:20:00,2465,13.34,2302.79,1962.5,2020.588,980.3989
2012-02-17 15:30:00,2466,13.37,2302.722,1962.5,2020.588,980.3989
2012-02-17 15:40:00,2467,13.32,2302.857,1962.5,2020.453,980.3989
2012-02-17 15:50:00,2468,13.24,2302.925,1962.5,2020.318,980.3989
2012-02-17 16:00:00,2469,13.17,2302.857,1962.5,2019.777,980.3989
2012-02-17 16:10:00,2470,13.15,2302.925,1962.5,2019.642,980.3989
2012-02-17 16:20:00,2471,13.11,2302.857,1962.5,2019.845,980.3989
2012-02-17 16:30:00,2472,13.08,2302.452,1962.432,2019.71,980.3989
2012-02-17 16:40:00,2473,13.06,2302.115,1962.229,2019.372,980.3989
2012-02-17 16:50:00,2474,13.07,2301.777,1962.365,2019.44,980.3989
2012-02-17 17:00:00,2475,13.23,2301.979,1962.094,2019.372,980.3989
2012-02-17 17:10:00,2476,13.29,2302.25,1962.297,2019.44,980.3989
2012-02-17 17:20:00,2477,13.2,2302.722,1962.365,2019.237,980.3989
2012-02-17 17:30:00,2478,13.08,2302.79,1962.365,2019.237,980.3989
2012-02-17 17:40:00,2479,13.05,2302.857,1962.229,2019.237,980.3989
2012-02-17 17:50:00,2480,13.04,2302.79,1962.229,2019.237,980.3989
2012-02-17 18:00:00,2481,13.01,2302.925,1962.094,2019.237,980.3989
2012-02-17 18:10:00,2482,12.99,2302.925,1962.432,2019.237,980.3989
2012-02-17 18:20:00,2483,12.96,2302.925,1962.432,2019.237,980.3989
2012-02-17 18:30:00,2484,12.92,2302.925,1962.365,2019.642,980.3989
2012-02-17 18:40:00,2485,12.88,2302.925,1961.757,2020.25,980.3989
2012-02-17 18:50:00,2486,12.86,2303.871,1961.216,2020.588,980.3989
2012-02-17 19:00:00,2487,12.84,2304.276,1961.149,2020.588,980.3989
2012-02-17 19:10:00,2488,12.82,2304.276,1961.149,2020.588,980.3989
2012-02-17 19:20:00,2489,12.81,2304.276,1961.149,2020.588,980.3989
2012-02-17 19:30:00,2490,12.8,2304.276,1961.149,2020.588,980.3989
2012-02-17 19:40:00,2491,12.79,2304.276,1961.149,2020.723,980.3989
2012-02-17 19:50:00,2492,12.78,2304.276,1961.149,2021.804,980.3989
2012-02-17 20:00:00,2493,12.77,2304.884,1961.149,2021.939,980.3989
2012-02-17 20:10:00,2494,12.76,2305.627,1961.149,2021.939,980.3989
2012-02-17 20:20:00,2495,12.75,2305.627,1961.149,2021.939,980.3989
2012-02-17 20:30:00,2496,12.74,2305.627,1960.271,2021.939,980.3989
2012-02-17 20:40:00,2497,12.73,2305.627,1959.798,2021.939,980.3989
2012-02-17 20:50:00,2498,12.72,2305.627,1959.798,2022.074,981.2094
2012-02-17 21:00:00,2499,12.71,2305.627,1959.798,2023.155,981.7498
2012-02-17 21:10:00,2500,12.7,2305.694,1959.798,2023.29,981.7498
2012-02-17 21:20:00,2501,12.69,2305.897,1959.798,2023.29,981.7498
2012-02-17 21:30:00,2502,12.69,2306.91,1959.798,2023.29,981.7498
2012-02-17 21:40:00,2503,12.68,2306.978,1959.798,2023.29,981.7498
2012-02-17 21:50:00,2504,12.67,2307.012,1959.827,2023.32,981.7643
2012-02-17 22:00:00,2505,12.66,2307.001,1959.817,2023.31,981.7596
2012-02-17 22:10:00,2506,12.65,2307.13,1959.927,2023.423,981.8145
2012-02-17 22:20:00,2507,12.64,2307.446,1960.138,2023.641,981.9202
2012-02-17 22:30:00,2508,12.63,2307.934,1960.323,2023.832,982.0129
2012-02-17 22:40:00,2509,12.62,2307.948,1960.335,2023.845,982.0189
2012-02-17 22:50:00,2510,12.61,2308.727,1960.423,2023.935,982.0627
2012-02-17 23:00:00,2511,12.6,2309.095,1960.449,2023.962,982.0757
2012-02-17 23:10:00,2512,12.59,2309.104,1960.456,2023.97,982.0794
2012-02-17 23:20:00,2513,12.59,2309.107,1960.458,2023.972,982.0806
2012-02-17 23:30:00,2514,12.58,2309.108,1960.459,2023.972,982.0809
2012-02-17 23:40:00,2515,12.57,2309.108,1960.459,2023.972,982.0809
2012-02-17 23:50:00,2516,12.56,2309.108,1960.459,2023.972,982.0809
2012-02-18 00:00:00,2517,12.55,2309.108,1960.459,2023.972,982.0809
2012-02-18 00:10:00,2518,12.54,2309.108,1960.459,2023.972,982.0809
2012-02-18 00:20:00,2519,12.53,2309.108,1961.135,2023.972,982.0809
2012-02-18 00:30:00,2520,12.52,2309.108,1961.81,2023.972,982.0809
2012-02-18 00:40:00,2521,12.52,2309.108,1961.81,2024.108,982.0809
2012-02-18 00:50:00,2522,12.51,2309.445,1961.81,2024.648,982.0809
2012-02-18 01:00:00,2523,12.5,2310.121,1961.81,2024.378,982.0809
2012-02-18 01:10:00,2524,12.49,2310.324,1961.81,2024.513,982.0809
2012-02-18 01:20:00,2525,12.49,2310.459,1961.81,2024.31,982.0809
2012-02-18 01:30:00,2526,12.48,2310.459,1961.81,2024.58,982.0809
2012-02-18 01:40:00,2527,12.48,2310.459,1961.81,2025.324,982.0809
2012-02-18 01:50:00,2528,12.47,2310.459,1961.81,2025.256,982.0809
2012-02-18 02:00:00,2529,12.46,2310.459,1961.81,2025.324,982.0809
2012-02-18 02:10:00,2530,12.46,2310.459,1961.81,2025.324,982.0809
2012-02-18 02:20:00,2531,12.46,2311.135,1961.81,2025.324,982.0809
2012-02-18 02:30:00,2532,12.45,2311.743,1961.743,2025.324,982.0809
2012-02-18 02:40:00,2533,12.45,2311.81,1961.81,2025.324,982.0809
2012-02-18 02:50:00,2534,12.45,2311.81,1961.81,2025.324,982.0809
2012-02-18 03:00:00,2535,12.44,2311.81,1961.743,2025.324,982.0809
2012-02-18 03:10:00,2536,12.44,2311.81,1961.675,2025.324,982.0809
2012-02-18 03:20:00,2537,12.44,2311.81,1961.607,2025.324,982.0809
2012-02-18 03:30:00,2538,12.43,2311.81,1961.405,2025.324,982.0809
2012-02-18 03:40:00,2539,12.43,2311.945,1960.999,2025.324,982.0809
2012-02-18 03:50:00,2540,12.43,2312.216,1960.661,2025.324,982.0809
2012-02-18 04:00:00,2541,12.42,2312.621,1960.594,2025.324,982.0809
2012-02-18 04:10:00,2542,12.42,2312.959,1960.729,2025.324,982.0809
2012-02-18 04:20:00,2543,12.42,2313.094,1960.661,2025.324,982.0809
2012-02-18 04:30:00,2544,12.41,2313.162,1960.594,2025.324,982.0809
2012-02-18 04:40:00,2545,12.41,2313.162,1960.459,2025.324,982.0809
2012-02-18 04:50:00,2546,12.41,2313.162,1960.459,2025.324,982.0809
2012-02-18 05:00:00,2547,12.41,2313.162,1960.459,2025.324,982.0809
2012-02-18 05:10:00,2548,12.4,2313.162,1960.459,2025.324,982.0809
2012-02-18 05:20:00,2549,12.4,2313.162,1960.459,2025.324,982.0809
2012-02-18 05:30:00,2550,12.4,2313.162,1960.459,2025.324,982.0133
