"TOA5","Kanga_Met","CR800","8642","CR800.Std.10","CPU:Kangaloon-weather station-jan2012.CR8","43544","TenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","AirTC_Avg","RH_Avg","Vap_Avg","WindSpd_Avg","WindDir_Avg","WindSpd_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","NSR_Avg","CNSR_Avg","PTemp_Avg","Rain_mm_Tot","ps_Avg"
"TS","RN","Volts","Deg C","%","kPa","meters/second","Degrees","meters/second","meters/second","meters/second","W/m^2","Watts/meter^2","Deg C","mm","kPa"
"","","Avg","Avg","Avg","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Tot","Avg"
"2012-07-17 11:30:00",27775,14.34247,13.93529,44.96726,0.7155397,1.384,239.1735,1.384005,279.6454,42.76205,333.3565,333.3565,12.41131,0,94.96642
"2012-07-17 11:40:00",27776,14.30725,13.76908,44.20286,0.6956482,1.4735,256.1616,1.473507,258.4078,30.04087,327.588,327.588,12.83846,0,94.93895
"2012-07-17 11:50:00",27777,14.30583,14.14878,43.75989,0.7058157,1.439,231.4055,1.439007,251.8591,41.78689,329.9915,329.9915,13.02807,0,94.9194
"2012-07-17 12:00:00",27778,14.30679,14.34153,43.02746,0.7027516,1.132917,235.2929,1.132922,279.662,42.87859,339.7776,339.7776,13.25002,0,94.89861
"2012-07-17 12:10:00",27779,14.30604,14.44572,43.35637,0.7129197,1.318917,236.4686,1.318922,307.323,42.44441,334.964,334.964,13.50828,0,94.87487
"2012-07-17 12:20:00",27780,14.30632,14.27951,43.00819,0.6996487,1.495667,220.5957,1.495674,264.295,48.24853,323.859,323.859,13.81498,0,94.86961
"2012-07-17 12:30:00",27781,14.30623,14.48348,42.5193,0.7008382,1.367333,257.6118,1.36734,281.858,43.56585,322.3721,322.3721,14.09191,0,94.84998
"2012-07-17 12:40:00",27782,14.30569,14.62497,42.42225,0.7057475,1.076667,221.9174,1.076671,274.5188,55.05851,315.4138,315.4138,14.34892,0,94.84083
"2012-07-17 12:50:00",27783,14.30532,14.58155,42.06113,0.697715,1.763917,269.0247,1.763923,272.7223,35.26531,304.0547,304.0547,14.62153,0,94.82459
"2012-07-17 13:00:00",27784,14.26485,14.73903,41.688,0.6986341,1.023833,230.177,1.023838,288.8012,51.82077,302.5813,302.5813,14.86075,0,94.80042
"2012-07-17 13:10:00",27785,14.26467,14.97985,40.63733,0.6916398,1.118917,222.8388,1.118921,267.0907,47.32333,292.0257,292.0257,15.13225,0,94.78167
"2012-07-17 13:20:00",27786,14.2632,14.66908,41.11034,0.6857729,1.699917,240.6613,1.699925,260.9005,42.25945,274.6199,274.6199,15.38009,0,94.76762
"2012-07-17 13:30:00",27787,14.26301,14.91953,41.53823,0.7042366,0.8588333,247.1489,0.8588359,256.0572,31.59991,268.1209,268.1367,15.60162,0,94.74635
"2012-07-17 13:40:00",27788,14.263,15.05117,40.63438,0.6947545,1.164667,229.6035,1.164672,259.7321,37.29275,257.8893,257.8893,15.8364,0,94.73817
"2012-07-17 13:50:00",27789,14.26287,15.25899,41.26284,0.7152543,0.4548333,221.4651,0.4548329,286.4652,28.21572,242.9859,242.9859,16.04527,0,94.7336
"2012-07-17 14:00:00",27790,14.26264,15.61364,40.49163,0.7178602,0.69625,219.5423,0.6962516,255.7062,26.75756,225.219,225.219,16.32521,0,94.73721
"2012-07-17 14:10:00",27791,14.26417,15.37464,41.61862,0.7265552,0.7316667,221.7582,0.7316685,286.0543,49.79571,198.1945,198.1945,16.55004,0,94.73782
"2012-07-17 14:20:00",27792,14.26293,15.21284,41.42349,0.7157124,1.246417,222.0755,1.246422,259.0068,54.00591,175.0019,175.0019,16.70801,0,94.72188
"2012-07-17 14:30:00",27793,14.26285,15.16126,41.36147,0.7122731,0.7555833,261.127,0.7555859,269.331,31.1843,172.4127,172.4127,16.7689,0,94.71173
"2012-07-17 14:40:00",27794,14.25784,15.36409,41.61057,0.7259222,0.6064166,183.5025,0.6064177,339.4346,45.84004,160.9762,160.9762,16.80374,0,94.70956
"2012-07-17 14:50:00",27795,14.2213,15.49062,41.02871,0.7216074,0.32475,249.5629,0.3247496,290.1415,18.73762,144.6403,144.6403,16.85116,0,94.70354
"2012-07-17 15:00:00",27796,14.22392,15.26228,41.46249,0.7185539,0.8313333,256.9122,0.8313361,268.3063,36.23007,140.6338,140.6338,16.86475,0,94.69637
"2012-07-17 15:10:00",27797,14.21886,14.89527,42.99458,0.7276552,0.76525,237.7357,0.7652522,252.5829,38.2881,115.5559,115.5559,16.77565,0,94.69219
"2012-07-17 15:20:00",27798,14.11032,14.89255,45.35955,0.7676272,0.40275,216.3362,0.4027494,274.7584,14.03461,122.4376,122.4376,16.56114,0,94.68928
"2012-07-17 15:30:00",27799,13.93939,14.88257,46.28948,0.7827668,0.44275,190.4193,0.4427494,2.183287,17.48232,23.02667,23.02667,16.04921,0,94.69623
