"TOA5","Kanga_Sap03F","CR1000","33602","CR1000.Std.19","CPU:UTS_SAP02_Dendro24hrMinMaxHMP45.CR1","31416","TenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","TCVolt_Avg(1)","TCVolt_Avg(2)","TCVolt_Avg(3)","TCVolt_Avg(4)","TCVolt_Avg(5)","TCVolt_Avg(6)","TCVolt_Avg(7)","TCVolt_Avg(8)","TCVolt_Avg(9)","TCVolt_Avg(10)","TCVolt_Avg(11)","TCVolt_Avg(12)","TCVolt_Avg(13)","TCVolt_Avg(14)","TCVolt_Avg(15)","TCVolt_Avg(16)","TCVolt_Avg(17)","TCVolt_Avg(18)","TCVolt_Avg(19)","TCVolt_Avg(20)","TCVolt_Avg(21)","TCVolt_Avg(22)","TCVolt_Avg(23)","TCVolt_Avg(24)","TCVolt_Avg(25)","TCVolt_Avg(26)","TCVolt_Avg(27)","TCVolt_Avg(28)","TCVolt_Avg(29)","TCVolt_Avg(30)","TCVolt_Avg(31)","TCVolt_Avg(32)","TCTemp_Avg(1)","TCTemp_Avg(2)","TCTemp_Avg(3)","TCTemp_Avg(4)","TCTemp_Avg(5)","TCTemp_Avg(6)","TCTemp_Avg(7)","TCTemp_Avg(8)","TCTemp_Avg(9)","TCTemp_Avg(10)","TCTemp_Avg(11)","TCTemp_Avg(12)","TCTemp_Avg(13)","TCTemp_Avg(14)","TCTemp_Avg(15)","TCTemp_Avg(16)","TCTemp_Avg(17)","TCTemp_Avg(18)","TCTemp_Avg(19)","TCTemp_Avg(20)","TCTemp_Avg(21)","TCTemp_Avg(22)","TCTemp_Avg(23)","TCTemp_Avg(24)","TCTemp_Avg(25)","TCTemp_Avg(26)","TCTemp_Avg(27)","TCTemp_Avg(28)","TCTemp_Avg(29)","TCTemp_Avg(30)","TCTemp_Avg(31)","TCTemp_Avg(32)","TCVolt_Max(1)","TCVolt_Max(2)","TCVolt_Max(3)","TCVolt_Max(4)","TCVolt_Max(5)","TCVolt_Max(6)","TCVolt_Max(7)","TCVolt_Max(8)","TCVolt_Max(9)","TCVolt_Max(10)","TCVolt_Max(11)","TCVolt_Max(12)","TCVolt_Max(13)","TCVolt_Max(14)","TCVolt_Max(15)","TCVolt_Max(16)","TCVolt_Max(17)","TCVolt_Max(18)","TCVolt_Max(19)","TCVolt_Max(20)","TCVolt_Max(21)","TCVolt_Max(22)","TCVolt_Max(23)","TCVolt_Max(24)","TCVolt_Max(25)","TCVolt_Max(26)","TCVolt_Max(27)","TCVolt_Max(28)","TCVolt_Max(29)","TCVolt_Max(30)","TCVolt_Max(31)","TCVolt_Max(32)","TCVolt_Min(1)","TCVolt_Min(2)","TCVolt_Min(3)","TCVolt_Min(4)","TCVolt_Min(5)","TCVolt_Min(6)","TCVolt_Min(7)","TCVolt_Min(8)","TCVolt_Min(9)","TCVolt_Min(10)","TCVolt_Min(11)","TCVolt_Min(12)","TCVolt_Min(13)","TCVolt_Min(14)","TCVolt_Min(15)","TCVolt_Min(16)","TCVolt_Min(17)","TCVolt_Min(18)","TCVolt_Min(19)","TCVolt_Min(20)","TCVolt_Min(21)","TCVolt_Min(22)","TCVolt_Min(23)","TCVolt_Min(24)","TCVolt_Min(25)","TCVolt_Min(26)","TCVolt_Min(27)","TCVolt_Min(28)","TCVolt_Min(29)","TCVolt_Min(30)","TCVolt_Min(31)","TCVolt_Min(32)","Period_Avg(1)","Period_Avg(2)","Period_Avg(3)","VWC_Avg(1)","VWC_Avg(2)","VWC_Avg(3)"
"TS","RN","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Avg","Avg","Avg","Avg","Avg","Avg"
"2012-07-17 12:40:00",6742,12.55,0.3738074,0.003283918,0.4585651,0.3705892,-0.003218228,0.4592218,0.3903255,0.01159221,0.454296,0.2724003,0.01185489,0.4607653,0.3747925,0.0080127,0.3289163,-0.0003284118,-0.001576289,-0.007388744,-0.01274147,-0.009424753,0.3439546,0.00620651,0.4482181,0.4067754,0.009523241,0.2869791,0.3512776,-0.002955529,0.6301454,0.4612552,-0.005057224,0.3535764,9.691971,0.08514543,11.88952,9.608531,-0.08344223,11.90654,10.12024,0.3005626,11.77883,7.062737,0.3073735,11.94656,9.717512,0.2077532,8.528059,-0.008515062,-0.04087002,-0.1915754,-0.3303608,-0.2443651,8.917963,0.1609223,11.62125,10.54675,0.2469185,7.440731,9.107833,-0.07663095,16.33811,11.95926,-0.1311237,9.167433,0.3749993,0.003612613,0.4591302,0.3711138,-0.002955401,0.4604351,0.3921327,0.0118231,0.4551805,0.2725829,0.01247836,0.4610919,0.3769695,0.009194379,0.3303481,0.0003283779,-0.0003283779,-0.006896806,-0.01182287,-0.008867322,0.3461103,0.007552691,0.4498777,0.4085021,0.01083647,0.2883158,0.3529985,-0.001970224,0.636054,0.4616993,-0.003940448,0.35629,0.3733754,0.002955336,0.457102,0.3697454,-0.003612077,0.4584155,0.3894476,0.01149297,0.4531615,0.2719101,0.01116626,0.4590622,0.3720991,0.006896674,0.3270994,-0.0009852392,-0.002298892,-0.007880896,-0.01379157,-0.009851119,0.3425147,0.00492629,0.4475692,0.4055979,0.008538047,0.2856962,0.3500599,-0.003612613,0.6252985,0.4610546,-0.006239967,0.351402,30.20833,31.09538,30.13645,0.3821679,0.4146449,0.3795843
"2012-07-17 12:50:00",6743,12.27,0.375804,0.003185058,0.4577617,0.3685473,-0.003973108,0.459108,0.3889711,0.01126263,0.4537886,0.2731597,0.01369245,0.4582214,0.3831591,0.008865629,0.3353833,-0.001116397,-0.002758173,-0.009259634,-0.01507154,-0.01027755,0.3467444,0.008110406,0.4476155,0.4081799,0.01175516,0.2868522,0.352819,-0.001674611,0.6273579,0.4618662,-0.002856713,0.3512101,9.743737,0.08258217,11.86869,9.555591,-0.1030147,11.90359,10.08513,0.2920174,11.76567,7.082429,0.3550178,11.88061,9.934439,0.229868,8.695732,-0.02894595,-0.07151392,-0.2400838,-0.3907751,-0.2664763,8.990297,0.2102866,11.60562,10.58316,0.3047877,7.437441,9.147797,-0.04341933,16.26583,11.9751,-0.07406886,9.106081,0.3759739,0.003283629,0.4580719,0.3694129,-0.003612037,0.4597138,0.3894432,0.01149284,0.4541315,0.274488,0.01444744,0.4590122,0.3881137,0.00919416,0.3398457,-0.000328367,-0.001641835,-0.008209174,-0.01379141,-0.009850886,0.348035,0.008537434,0.4481772,0.4084885,0.01214938,0.2873211,0.3533229,-0.001313413,0.6327632,0.4620124,-0.002298344,0.3539796,0.3753235,0.002955014,0.4573962,0.3677351,-0.004268561,0.4576989,0.3880919,0.01083505,0.453456,0.271555,0.01280631,0.4577211,0.377622,0.008208373,0.3309939,-0.002298344,-0.004268354,-0.01050672,-0.01641675,-0.01083558,0.3454363,0.007551703,0.4472139,0.4074636,0.01116448,0.2866364,0.3516467,-0.002298456,0.624872,0.4616614,-0.003940404,0.3500247,30.20426,31.1008,30.13238,0.3820215,0.4148469,0.3794383
"2012-07-17 13:00:00",6744,12.42,0.3756023,0.002429415,0.4581685,0.36815,-0.004267836,0.4575447,0.3881432,0.01053826,0.4539663,0.2742904,0.0160864,0.4583327,0.3771782,0.007846238,0.3285249,-0.003578394,-0.004825949,-0.0108009,-0.01697282,-0.01152313,0.3443815,0.005712363,0.4470393,0.4060353,0.0102428,0.2861091,0.3502251,-0.00397236,0.6206418,0.4618782,-0.001543016,0.3485509,9.738509,0.06298986,11.87923,9.54529,-0.1106565,11.86306,10.06366,0.2732359,11.77028,7.111745,0.4170881,11.88349,9.779367,0.2034372,8.51791,-0.0927806,-0.1251272,-0.2800457,-0.4400716,-0.2987719,8.929033,0.1481101,11.59068,10.52756,0.2655753,7.418174,9.080544,-0.1029954,16.09171,11.97542,-0.04000733,9.037134,0.3759435,0.002955014,0.4586237,0.3683561,-0.003939638,0.4579829,0.3883826,0.01083289,0.4543018,0.2747476,0.01707001,0.4590122,0.3782418,0.008206734,0.3296483,-0.002954852,-0.004595539,-0.01050614,-0.01608841,-0.01083446,0.3457367,0.007223368,0.4478488,0.406807,0.01083505,0.2866364,0.35099,-0.003283349,0.623508,0.4619672,-0.0006565055,0.3503334,0.3751929,0.001641264,0.4576737,0.3677351,-0.004596436,0.4569278,0.3879948,0.01017782,0.4537339,0.2738163,0.01510258,0.4575844,0.3761777,0.007550972,0.3275962,-0.003939233,-0.00525307,-0.01116059,-0.01739828,-0.01214597,0.3440263,0.00525231,0.4464923,0.4057409,0.009848756,0.2859226,0.3499591,-0.004267941,0.619413,0.4616135,-0.001970009,0.3476197,30.19477,31.09809,30.12424,0.3816799,0.4147459,0.3791462
"2012-07-17 13:10:00",6745,12.5,0.3755133,0.001444039,0.4580855,0.3678993,-0.00426645,0.4571337,0.3881157,0.01037077,0.4541801,0.2756783,0.01844413,0.4569368,0.3759399,0.008532877,0.326843,-0.004660252,-0.004496149,-0.01168339,-0.01765637,-0.01194596,0.3439712,0.00511971,0.4470542,0.4056701,0.01086293,0.2862434,0.3499114,-0.004266411,0.6189906,0.4616257,0.0002296812,0.3475484,9.7362,0.03744103,11.87708,9.53879,-0.1106205,11.8524,10.06295,0.2688932,11.77582,7.147728,0.4782192,11.8473,9.747263,0.2212404,8.474302,-0.120831,-0.1165762,-0.302927,-0.4577946,-0.3097349,8.918395,0.1327438,11.59107,10.51809,0.2816539,7.421655,9.072409,-0.1106195,16.0489,11.96887,0.005955174,9.011144,0.3757505,0.001641264,0.4582409,0.3682996,-0.004265968,0.4575174,0.388323,0.01050409,0.4543018,0.2766316,0.01936093,0.4575844,0.3765059,0.008860921,0.3275962,-0.004266661,-0.004265968,-0.01115957,-0.0173958,-0.01181345,0.3443056,0.005579786,0.447343,0.4060115,0.01115715,0.2865227,0.3502136,-0.004265968,0.6193562,0.4618093,0.001312605,0.3479161,0.375138,0.001312605,0.4577712,0.3675463,-0.004267286,0.4564585,0.3878749,0.01017269,0.4538333,0.2750356,0.0173974,0.4564585,0.3754052,0.008205118,0.3261825,-0.004922734,-0.004923071,-0.01181537,-0.01772305,-0.01214424,0.3435745,0.00492227,0.446614,0.405355,0.01050313,0.286148,0.3498093,-0.004266895,0.6188934,0.4613808,-0.0006564454,0.3471842,30.19206,31.09538,30.12831,0.3815823,0.4146449,0.3792922
"2012-07-17 13:20:00",6746,12.42,0.3755981,0.0008531203,0.4573982,0.3676248,-0.004429603,0.4568404,0.3878697,0.009646717,0.4540185,0.2769982,0.02017931,0.4557576,0.3758934,0.008859219,0.3263474,-0.005774875,-0.004528041,-0.01246852,-0.01837465,-0.01227164,0.343344,0.004495246,0.4465702,0.4052928,0.0118779,0.28612,0.3496767,-0.004134306,0.6188,0.4613356,0.002198373,0.346658,9.7384,0.0221197,11.85926,9.531672,-0.1148508,11.8448,10.05657,0.25012,11.77164,7.181951,0.523209,11.81672,9.746057,0.2297018,8.461454,-0.149731,-0.1174031,-0.3232839,-0.4764182,-0.3181792,8.902132,0.1165527,11.57852,10.50831,0.30797,7.418456,9.066324,-0.1071943,16.04395,11.96135,0.0569994,8.988056,0.3757241,0.001312573,0.45776,0.3681768,-0.004265433,0.4580277,0.3881544,0.01017244,0.4541504,0.2772531,0.0206703,0.4561193,0.376366,0.008859871,0.3268308,-0.004922151,-0.0042657,-0.01214084,-0.01771906,-0.01181271,0.3438942,0.004922151,0.4466031,0.4055852,0.01246819,0.286141,0.3498008,-0.003937149,0.6188784,0.4616977,0.0029529,0.3471757,0.3753416,0.0006561916,0.4570374,0.3668502,-0.004593831,0.4560532,0.3878092,0.009186682,0.4537565,0.2765969,0.01968785,0.4550689,0.3750135,0.008858587,0.325471,-0.006561916,-0.004594007,-0.013124,-0.01935765,-0.0127959,0.3431882,0.004265246,0.4465384,0.4048755,0.01115687,0.2860996,0.349422,-0.004265863,0.6184606,0.4609746,0.001312573,0.3461411,30.17985,31.08724,30.12153,0.3811433,0.4143419,0.3790489
"2012-07-17 13:30:00",6747,12.41,0.3755254,0.0005905543,0.4569888,0.3672249,-0.00462599,0.4564639,0.3881567,0.009219174,0.4539048,0.2777891,0.02125986,0.4551516,0.3757879,0.008792664,0.3260831,-0.00734908,-0.004790021,-0.01338582,-0.01991469,-0.01322178,0.3432414,0.003707358,0.4461285,0.4050852,0.01299211,0.286122,0.349475,-0.004035431,0.618307,0.461286,0.003871379,0.3461614,9.736517,0.01531189,11.84865,9.521305,-0.1199427,11.83504,10.06401,0.2390347,11.76869,7.202456,0.5512254,11.80101,9.743322,0.2279761,8.454603,-0.190547,-0.1241957,-0.3470676,-0.5163483,-0.3428144,8.899474,0.09612437,11.56707,10.50292,0.3368594,7.418509,9.061095,-0.1046307,16.03117,11.96006,0.1003771,8.975181,0.3756697,0.0006561916,0.4570374,0.3674665,-0.004592991,0.4570026,0.3884495,0.009514757,0.4540846,0.278204,0.021653,0.455397,0.3763144,0.008858587,0.3267735,-0.006561916,-0.004593153,-0.01312343,-0.01935765,-0.01279574,0.343834,0.004265246,0.4465384,0.4055017,0.01345138,0.286427,0.3497501,-0.00393685,0.6187887,0.4613027,0.004592991,0.3464692,0.375313,0.0003280708,0.4566745,0.3671112,-0.004921137,0.4560345,0.3878092,0.009185982,0.4537379,0.277241,0.02067004,0.4550342,0.3749849,0.00852984,0.3254462,-0.007873818,-0.005249132,-0.01377897,-0.02034039,-0.0134519,0.342834,0.003280708,0.4458482,0.4048393,0.01246761,0.2860777,0.3493954,-0.004265236,0.6177573,0.4612675,0.002952862,0.3457866,30.18528,31.09131,30.12017,0.3813384,0.4144934,0.3790002
"2012-07-17 13:40:00",6748,12.41,0.376226,6.561284E-005,0.4566678,0.367237,-0.004953797,0.4570287,0.3892502,0.00885778,0.4542073,0.2791185,0.0223741,0.4550275,0.3758324,0.008562522,0.3259007,-0.008923396,-0.005216249,-0.01407403,-0.02093061,-0.01354912,0.3434522,0.002394879,0.4462681,0.4050958,0.01505823,0.2865328,0.3494559,-0.003936791,0.6177154,0.4614248,0.00551151,0.3463064,9.754682,0.001701209,11.84032,9.52162,-0.128442,11.84968,10.09237,0.2296644,11.77653,7.236926,0.5801153,11.7978,9.744474,0.222009,8.449873,-0.2313658,-0.1352469,-0.3649116,-0.5426891,-0.3513018,8.90494,0.06209443,11.57069,10.5032,0.3904296,7.42916,9.060598,-0.1020731,16.01583,11.96366,0.1429024,8.978942,0.3766212,0.0003280657,0.4569967,0.3677634,-0.004592878,0.4573263,0.3897439,0.009185863,0.4543737,0.2795133,0.02263667,0.4550298,0.3766217,0.008857827,0.3267554,-0.008201568,-0.004920941,-0.01377864,-0.02066795,-0.01345057,0.3438149,0.003280628,0.4465001,0.4051636,0.0160753,0.2867311,0.3497197,-0.003936753,0.6177514,0.4615912,0.006233278,0.3464395,0.3753038,0,0.4563415,0.3671022,-0.005249076,0.4566633,0.3887543,0.008529749,0.4537108,0.2785253,0.0219802,0.455023,0.3749757,0.008529631,0.3251102,-0.009842018,-0.005249083,-0.01443496,-0.02132437,-0.01410689,0.3431536,0.001968399,0.4458373,0.404505,0.0141067,0.2860707,0.3493868,-0.003936812,0.6174212,0.4612562,0.004920941,0.3457781,30.17578,31.08995,30.11339,0.3809971,0.4144429,0.3787571
"2012-07-17 13:50:00",6749,12.35,0.3776227,-0.0001640424,0.4565921,0.3673537,-0.005118084,0.4584621,0.3904179,0.008562947,0.4544923,0.2802151,0.02263768,0.4551157,0.3760479,0.008562947,0.3257529,-0.01066268,-0.005249316,-0.01469809,-0.02181747,-0.01414035,0.3434037,0.001738834,0.4471105,0.4051816,0.01722432,0.2869079,0.3495389,-0.003936987,0.6175164,0.4616446,0.007152196,0.3463565,9.790892,-0.004253292,11.83836,9.524645,-0.1327017,11.88685,10.12264,0.22202,11.78392,7.265356,0.5869492,11.80008,9.750063,0.22202,8.446039,-0.276462,-0.1361043,-0.3810921,-0.5656838,-0.3666311,8.903681,0.04508449,11.59253,10.50542,0.446592,7.438886,9.06275,-0.1020782,16.01068,11.96936,0.1854421,8.980238,0.3786106,0,0.456695,0.3677838,-0.00492115,0.4593181,0.3907498,0.00885807,0.455053,0.2805131,0.0226379,0.4553826,0.376969,0.00885807,0.3264439,-0.0098423,-0.005249226,-0.01443537,-0.02132498,-0.0141073,0.3438324,0.001968513,0.4475086,0.4055136,0.0180447,0.2870748,0.3497391,-0.00393692,0.6177849,0.4619428,0.007874051,0.3464582,0.376632,-0.0003280855,0.456359,0.3667932,-0.005249368,0.4570108,0.3897551,0.008529993,0.4543862,0.2798494,0.02263729,0.4550423,0.3749916,0.008529993,0.325124,-0.01148299,-0.005249368,-0.01476385,-0.02198173,-0.01443574,0.3428434,0.00131234,0.4465123,0.4048466,0.01607576,0.286739,0.3494016,-0.003937026,0.6171288,0.4616039,0.006561533,0.3461242,30.17443,31.08724,30.10797,0.3809483,0.4143419,0.3785625
