"TOA5","Kanga_Sap03F","CR1000","33602","CR1000.Std.19","CPU:UTS_SAP02_Dendro24hrMinMaxHMP45.CR1","31416","TenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","TCVolt_Avg(1)","TCVolt_Avg(2)","TCVolt_Avg(3)","TCVolt_Avg(4)","TCVolt_Avg(5)","TCVolt_Avg(6)","TCVolt_Avg(7)","TCVolt_Avg(8)","TCVolt_Avg(9)","TCVolt_Avg(10)","TCVolt_Avg(11)","TCVolt_Avg(12)","TCVolt_Avg(13)","TCVolt_Avg(14)","TCVolt_Avg(15)","TCVolt_Avg(16)","TCVolt_Avg(17)","TCVolt_Avg(18)","TCVolt_Avg(19)","TCVolt_Avg(20)","TCVolt_Avg(21)","TCVolt_Avg(22)","TCVolt_Avg(23)","TCVolt_Avg(24)","TCVolt_Avg(25)","TCVolt_Avg(26)","TCVolt_Avg(27)","TCVolt_Avg(28)","TCVolt_Avg(29)","TCVolt_Avg(30)","TCVolt_Avg(31)","TCVolt_Avg(32)","TCTemp_Avg(1)","TCTemp_Avg(2)","TCTemp_Avg(3)","TCTemp_Avg(4)","TCTemp_Avg(5)","TCTemp_Avg(6)","TCTemp_Avg(7)","TCTemp_Avg(8)","TCTemp_Avg(9)","TCTemp_Avg(10)","TCTemp_Avg(11)","TCTemp_Avg(12)","TCTemp_Avg(13)","TCTemp_Avg(14)","TCTemp_Avg(15)","TCTemp_Avg(16)","TCTemp_Avg(17)","TCTemp_Avg(18)","TCTemp_Avg(19)","TCTemp_Avg(20)","TCTemp_Avg(21)","TCTemp_Avg(22)","TCTemp_Avg(23)","TCTemp_Avg(24)","TCTemp_Avg(25)","TCTemp_Avg(26)","TCTemp_Avg(27)","TCTemp_Avg(28)","TCTemp_Avg(29)","TCTemp_Avg(30)","TCTemp_Avg(31)","TCTemp_Avg(32)","TCVolt_Max(1)","TCVolt_Max(2)","TCVolt_Max(3)","TCVolt_Max(4)","TCVolt_Max(5)","TCVolt_Max(6)","TCVolt_Max(7)","TCVolt_Max(8)","TCVolt_Max(9)","TCVolt_Max(10)","TCVolt_Max(11)","TCVolt_Max(12)","TCVolt_Max(13)","TCVolt_Max(14)","TCVolt_Max(15)","TCVolt_Max(16)","TCVolt_Max(17)","TCVolt_Max(18)","TCVolt_Max(19)","TCVolt_Max(20)","TCVolt_Max(21)","TCVolt_Max(22)","TCVolt_Max(23)","TCVolt_Max(24)","TCVolt_Max(25)","TCVolt_Max(26)","TCVolt_Max(27)","TCVolt_Max(28)","TCVolt_Max(29)","TCVolt_Max(30)","TCVolt_Max(31)","TCVolt_Max(32)","TCVolt_Min(1)","TCVolt_Min(2)","TCVolt_Min(3)","TCVolt_Min(4)","TCVolt_Min(5)","TCVolt_Min(6)","TCVolt_Min(7)","TCVolt_Min(8)","TCVolt_Min(9)","TCVolt_Min(10)","TCVolt_Min(11)","TCVolt_Min(12)","TCVolt_Min(13)","TCVolt_Min(14)","TCVolt_Min(15)","TCVolt_Min(16)","TCVolt_Min(17)","TCVolt_Min(18)","TCVolt_Min(19)","TCVolt_Min(20)","TCVolt_Min(21)","TCVolt_Min(22)","TCVolt_Min(23)","TCVolt_Min(24)","TCVolt_Min(25)","TCVolt_Min(26)","TCVolt_Min(27)","TCVolt_Min(28)","TCVolt_Min(29)","TCVolt_Min(30)","TCVolt_Min(31)","TCVolt_Min(32)","Period_Avg(1)","Period_Avg(2)","Period_Avg(3)","VWC_Avg(1)","VWC_Avg(2)","VWC_Avg(3)"
"TS","RN","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Avg","Avg","Avg","Avg","Avg","Avg"
"2012-08-08 11:30:00",9880,12.52,0.3728666,0.002495905,0.0008538306,0.3764461,-0.003054107,-0.006962107,0.3977922,0.0009195457,-0.001412124,0.2789111,0.001740499,0.4615677,0.3796318,-0.001149353,0.3439347,-0.004269111,-0.003086842,-0.00850538,-0.009293518,-0.006173784,0.3486924,0.00397377,0.4698052,0.4174587,0.003546808,0.2898107,0.3553917,-0.0008537207,0.623561,0.4658316,0.0002627494,0.3863595,9.667579,0.06471382,0.02213812,9.760386,-0.07918688,-0.1805136,10.31384,0.02384198,-0.03661354,7.231547,0.04512765,11.96737,9.842984,-0.02980042,8.917448,-0.1106895,-0.08003564,-0.2205275,-0.2409624,-0.1600739,9.040804,0.1030319,12.18094,10.82374,0.09196163,7.514148,9.214499,-0.02213527,16.16739,12.07792,0.006812566,10.01742,0.3730775,0.003284715,0.0009853552,0.3772986,-0.002627306,-0.006569035,0.3982878,0.001313807,-0.001313398,0.2795124,0.00197071,0.4621316,0.3829978,0,0.3478514,-0.002627772,-0.001642358,-0.006569431,-0.006897902,-0.004598602,0.3511361,0.005912487,0.4716851,0.4194582,0.005255545,0.2913542,0.3577055,0.0006569431,0.6277091,0.4670865,0.0009854146,0.3879249,0.3724643,0.001970096,0.0006567815,0.3751145,-0.003283908,-0.007226374,0.3974506,0.0006566988,-0.001642358,0.2784403,0.0009854146,0.4610025,0.3782837,-0.001641954,0.3424912,-0.00525394,-0.003940455,-0.009522767,-0.01018011,-0.006895797,0.3461033,0.001970096,0.4675695,0.4156903,0.002298599,0.2882908,0.3536323,-0.001970096,0.6202933,0.4649737,0,0.3845228,27.889,30.04286,29.32536,0.3024567,0.3762315,0.350934
"2012-08-08 11:40:00",9881,12.49,0.3727289,0.000853577,0.0008207175,0.3772919,-0.003282797,-0.006631271,0.398072,0.0006893836,-0.001345943,0.2791691,0.002626215,0.4614956,0.3809029,-0.0001313579,0.3437089,-0.005252472,-0.003315651,-0.009257488,-0.01004536,-0.00666407,0.3472542,0.002166633,0.4685864,0.4162915,0.004037767,0.2889189,0.3539512,-0.001969679,0.6201205,0.4651724,0.001214567,0.3842843,9.664007,0.02213155,0.02127956,9.782316,-0.08511637,-0.1719356,10.32109,0.01787434,-0.03489761,7.238236,0.06809248,11.9655,9.87594,-0.003405847,8.911593,-0.1361861,-0.08596821,-0.2400282,-0.2604562,-0.1727861,9.003516,0.05617647,12.14934,10.79347,0.1046912,7.491027,9.177152,-0.05106983,16.07819,12.06083,0.03149129,9.963611,0.3729839,0.001641654,0.001313324,0.3779088,-0.003282115,-0.006236019,0.3982654,0.000984723,-0.001312846,0.2793888,0.002954533,0.461892,0.3820382,0.000656423,0.3442939,-0.004924221,-0.002953904,-0.009189922,-0.009846346,-0.006564819,0.3479354,0.002626251,0.4693846,0.4165891,0.004923173,0.2898108,0.3542426,-0.001969269,0.622187,0.4652449,0.002297481,0.3854604,0.3725201,0.0003282115,0.000656423,0.3765675,-0.003283309,-0.006894948,0.3977924,0.000656423,-0.001641205,0.2787321,0.002298145,0.4609765,0.3798505,-0.0006566618,0.3431058,-0.005580097,-0.00393997,-0.009520886,-0.01050371,-0.006894434,0.3463891,0.001969446,0.4675432,0.4159952,0.002954978,0.2882745,0.3536124,-0.001969985,0.6191388,0.4650757,0.0003283309,0.3837438,27.88493,30.04286,29.31993,0.3023235,0.3762315,0.3507454
"2012-08-08 11:50:00",9882,12.73,0.3722753,-0.0001312508,0.000393814,0.3759508,-0.003347327,-0.005841428,0.3971505,0.001082951,-0.001115784,0.2789767,0.003445764,0.4627843,0.3809062,0.0009188674,0.3431667,-0.005644496,-0.002953519,-0.009648168,-0.01033732,-0.006858733,0.3485814,0.002920683,0.4712183,0.4166766,0.00630081,0.2905611,0.3542588,-0.001476774,0.6200759,0.4654425,0.00334728,0.3834659,9.652248,-0.003403071,0.01021081,9.747545,-0.08678949,-0.1514566,10.2972,0.02807875,-0.02893004,7.23325,0.08934176,11.99891,9.876024,0.02382439,8.897536,-0.1463505,-0.07657885,-0.2501578,-0.2680262,-0.1778333,9.037927,0.07572747,12.21758,10.80346,0.1633674,7.533603,9.185126,-0.03828979,16.07704,12.06783,0.08678825,9.942391,0.3725201,0.0003282115,0.000656423,0.3767868,-0.003281344,-0.005578285,0.3977924,0.001312589,-0.0009844032,0.2792928,0.00360994,0.463385,0.3813818,0.0009845808,0.3439657,-0.004922905,-0.002625549,-0.009189421,-0.009845809,-0.006235679,0.3494768,0.003609619,0.472532,0.4168286,0.007219238,0.291403,0.3544684,-0.0009844032,0.6208303,0.4659508,0.004593882,0.3843357,0.3717763,-0.0006562688,0,0.3744014,-0.00360994,-0.006236019,0.39673,0.0009844695,-0.001312846,0.2789142,0.002953904,0.4617684,0.3799796,0.0006563872,0.3419161,-0.006234797,-0.003281472,-0.01017256,-0.01082916,-0.007219443,0.3481951,0.002297234,0.4699486,0.4164025,0.005579291,0.2897797,0.3537741,-0.001641058,0.6195419,0.4653127,0.002297481,0.3829587,27.88221,30.0415,29.32129,0.3022347,0.376183,0.3507925
"2012-08-08 12:00:00",9883,12.95,0.3719564,-0.0002952846,0.0002624704,0.3750405,-0.003182487,-0.005282273,0.3966616,0.001870103,-0.001148316,0.2784506,0.004330789,0.462936,0.3786823,0.001509192,0.340591,-0.006430574,-0.003280887,-0.01017073,-0.01102376,-0.008103767,0.3482,0.002329416,0.47143,0.4164423,0.006922634,0.2910798,0.3540728,-0.001181131,0.6213663,0.4658197,0.005479045,0.383207,9.643981,-0.007656138,0.006805332,9.723943,-0.08251552,-0.1369588,10.28452,0.04848802,-0.02977354,7.219607,0.1122887,12.00284,9.818365,0.03913034,8.830753,-0.166732,-0.08506684,-0.2637068,-0.2858241,-0.2101145,9.028037,0.06039708,12.22307,10.79739,0.17949,7.547054,9.180304,-0.03062437,16.11049,12.07761,0.1420607,9.93568,0.3723756,0,0.0003281097,0.3753858,-0.002952618,-0.00492103,0.396982,0.002296545,-0.000984206,0.2789142,0.00492103,0.4633258,0.3818719,0.002296545,0.3431598,-0.006233304,-0.002952618,-0.00951518,-0.01082627,-0.007546522,0.3500493,0.003280686,0.4724188,0.4176314,0.008529785,0.2916612,0.3552983,0,0.6233304,0.4661987,0.006889442,0.3838511,0.3717018,-0.0006562015,0,0.3739983,-0.003609108,-0.005578285,0.3963181,0.001312439,-0.001640504,0.27821,0.003937316,0.4622487,0.3759772,0.0009842528,0.3382483,-0.006890116,-0.003609206,-0.01049922,-0.01181047,-0.008529785,0.3461289,0.001312337,0.4704728,0.4153547,0.005577432,0.2903545,0.3530186,-0.001968605,0.6200792,0.4652469,0.004593411,0.3828743,27.87408,30.0415,29.31722,0.3019683,0.376183,0.3506511
"2012-08-08 12:10:00",9884,13.42,0.3723093,6.560628E-005,0.0002952504,0.3742121,-0.003149323,-0.004756797,0.3966182,0.002624434,-0.000885748,0.2793714,0.005544119,0.4622619,0.3816589,0.00186991,0.3421939,-0.007676478,-0.004035071,-0.01089141,-0.01272852,-0.008759056,0.3477052,0.001148201,0.4707914,0.4152845,0.006954766,0.2903941,0.3531509,-0.001902712,0.6199251,0.464952,0.005937785,0.3838569,9.653131,0.001701039,0.007655253,9.702463,-0.08165566,-0.1233342,10.2834,0.06804632,-0.02296567,7.243483,0.1437479,11.98536,9.895541,0.04848303,8.872314,-0.1990357,-0.1046213,-0.2823927,-0.3300252,-0.2271049,9.015209,0.02977055,12.20651,10.76737,0.1803231,7.529273,9.156402,-0.04933351,16.07312,12.05511,0.1539549,9.952528,0.3726752,0.0003280625,0.0003280625,0.3743193,-0.002952532,-0.004592537,0.3966275,0.002952387,-0.0006560861,0.2798349,0.005905064,0.4625641,0.3821928,0.001968375,0.3428243,-0.007217354,-0.003936517,-0.01082542,-0.01213828,-0.008529537,0.3487294,0.001968369,0.4714245,0.4163101,0.007545416,0.2909906,0.3539784,-0.001312246,0.6210205,0.4655193,0.006233124,0.3841611,0.3720196,-0.0003280615,0,0.3739637,-0.003280615,-0.005248985,0.3965984,0.002296431,-0.001312246,0.2791606,0.004920923,0.462206,0.3812047,0.001640298,0.341816,-0.007873499,-0.0042648,-0.01148134,-0.01312153,-0.009185205,0.3467366,0.0003280384,0.470407,0.4143125,0.006232729,0.2899859,0.3526412,-0.002624307,0.6190084,0.464837,0.005577046,0.3834768,27.87136,30.04286,29.32264,0.3018795,0.3762315,0.3508397
"2012-08-08 12:20:00",9885,13.53,0.373455,0.000492033,0.01036586,0.3736518,-0.003280237,0.00554389,0.3968759,0.003214623,0.0104643,0.2797714,0.006232445,0.4617918,0.3814588,0.001935336,0.3415383,-0.008594217,-0.004231485,-0.01157918,-0.0135145,-0.009381431,0.3470474,-0.000131202,0.4702853,0.4132094,0.006101214,0.2900043,0.3518365,-0.002591373,0.6174688,0.4645449,0.006954054,0.3828346,9.682836,0.01275743,0.2687657,9.687939,-0.08505,0.1437418,10.29008,0.08334874,0.2713181,7.253854,0.1615948,11.97318,9.890352,0.0501794,8.855316,-0.2228309,-0.109714,-0.300225,-0.3504042,-0.2432418,8.998153,-0.003401807,12.19339,10.71356,0.1581923,7.519168,9.122323,-0.06718913,16.00944,12.04456,0.1803047,9.926023,0.3739432,0.0006560509,0.05576652,0.3739637,-0.003280041,0.04625341,0.3969214,0.003608224,0.05937494,0.2801294,0.006560407,0.462206,0.3821496,0.002296028,0.3421305,-0.008200958,-0.003936305,-0.01148061,-0.01312102,-0.009184114,0.3473789,0.0003280342,0.470407,0.4136564,0.006232729,0.290298,0.3523088,-0.00229624,0.6186804,0.4648303,0.007544094,0.3831488,0.3729649,0.0003280175,0.00164002,0.3732686,-0.003280384,-0.002952037,0.3965984,0.002624274,0.0006560081,0.2791606,0.005904616,0.4615017,0.3808316,0.001640127,0.3411242,-0.008856549,-0.004592537,-0.01180863,-0.01377685,-0.009513112,0.3467322,-0.0003280254,0.4700491,0.4126291,0.005904073,0.2896464,0.3516204,-0.002624307,0.6166477,0.4644538,0.006232729,0.3827808,27.86594,30.0415,29.324,0.301702,0.376183,0.3508868
"2012-08-08 12:30:00",9886,13.73,0.3751153,0.001148045,0.0006888253,0.3732128,-0.003378531,-0.003378532,0.3968297,0.003608139,-9.840543E-005,0.2801228,0.007052273,0.4612514,0.3815771,0.002525698,0.3411004,-0.009479566,-0.004264165,-0.01184126,-0.01400614,-0.009217154,0.3476934,-0.000885635,0.4705997,0.4123775,0.005838625,0.2901928,0.3515312,-0.002788108,0.6160734,0.4644659,0.008462728,0.3829876,9.725882,0.02976652,0.01785986,9.676556,-0.08759855,-0.08759858,10.28888,0.09355183,-0.002551456,7.262964,0.1828513,11.95916,9.893421,0.06548628,8.843962,-0.2457863,-0.1105613,-0.3070202,-0.3631514,-0.2389824,9.014902,-0.02296274,12.20154,10.692,0.1513838,7.524055,9.114406,-0.07229007,15.97326,12.04251,0.2194216,9.929991,0.3759024,0.001312067,0.00131204,0.3732829,-0.002952096,-0.002952091,0.3969001,0.003608183,0.0003280106,0.2804507,0.007544289,0.461511,0.3818076,0.00295212,0.3411373,-0.008856273,-0.004264132,-0.01180836,-0.01377643,-0.008856339,0.3483493,-0.0003280101,0.4707039,0.4126449,0.006232316,0.2906199,0.3516338,-0.002296071,0.616659,0.4644716,0.009184352,0.3834467,0.3742596,0.0006560202,0.0003280126,0.3726232,-0.003608183,-0.003608183,0.3965672,0.003608111,-0.0003280166,0.2797954,0.006888213,0.4611822,0.3811478,0.002296071,0.3408031,-0.01016839,-0.004264216,-0.01213646,-0.01443273,-0.009512388,0.3470347,-0.0009840499,0.4700385,0.4119838,0.005576214,0.289961,0.3513015,-0.00295215,0.6156811,0.4644623,0.007872242,0.3824598,27.86865,30.04286,29.32264,0.3017908,0.3762315,0.3508397
"2012-08-08 12:40:00",9887,13.52,0.3763164,0.001180905,3.280275E-005,0.3730033,-0.003477122,-0.003673942,0.3958341,0.003641138,-0.0007544731,0.2795474,0.007905541,0.4612435,0.3818601,0.002722652,0.3407251,-0.0107266,-0.004330003,-0.01230114,-0.01433493,-0.009086438,0.3480402,-0.001279321,0.4712811,0.4114812,0.005576516,0.2905365,0.3512877,-0.002952273,0.6169595,0.4649502,0.009709707,0.3836971,9.757024,0.03061851,0.0008505097,9.671123,-0.09015483,-0.09525798,10.26307,0.09440742,-0.01956198,7.248045,0.2049748,11.95896,9.900758,0.0705929,8.834231,-0.2781194,-0.1122683,-0.318944,-0.3716761,-0.2355932,9.023893,-0.03317023,12.21921,10.66876,0.1445879,7.532964,9.108092,-0.07654653,15.99623,12.05506,0.2517532,9.948385,0.3765982,0.001312148,0.0003280275,0.3732785,-0.003280127,-0.00360814,0.3965674,0.003936566,-0.0003280127,0.2801359,0.008529227,0.4615481,0.3821631,0.002952333,0.3411486,-0.01016839,-0.004264165,-0.01213647,-0.01410455,-0.008856757,0.3483658,-0.0009840381,0.4714038,0.4120032,0.005576802,0.2906408,0.3516296,-0.002952114,0.6173849,0.4651709,0.01016946,0.3838033,0.3759026,0.0006560735,0,0.3729505,-0.003608519,-0.003936566,0.3952843,0.00360814,-0.0009841111,0.2785121,0.007544293,0.4611859,0.3814788,0.002624102,0.340185,-0.0111536,-0.004592661,-0.01246579,-0.01443363,-0.009185322,0.347402,-0.001640184,0.4707202,0.4110301,0.005576216,0.2903125,0.3509895,-0.002952425,0.6163359,0.464794,0.009184356,0.3831469,27.86051,30.0415,29.32129,0.3015245,0.376183,0.3507925
