"TOA5","Kanga_Sap03F","CR1000","33602","CR1000.Std.19","CPU:UTS_SAP02_3F_Dendro24hrMinMaxHMP45.cr1","11683","TenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","TCVolt_Avg(1)","TCVolt_Avg(2)","TCVolt_Avg(3)","TCVolt_Avg(4)","TCVolt_Avg(5)","TCVolt_Avg(6)","TCVolt_Avg(7)","TCVolt_Avg(8)","TCVolt_Avg(9)","TCVolt_Avg(10)","TCVolt_Avg(11)","TCVolt_Avg(12)","TCVolt_Avg(13)","TCVolt_Avg(14)","TCVolt_Avg(15)","TCVolt_Avg(16)","TCVolt_Avg(17)","TCVolt_Avg(18)","TCVolt_Avg(19)","TCVolt_Avg(20)","TCVolt_Avg(21)","TCVolt_Avg(22)","TCVolt_Avg(23)","TCVolt_Avg(24)","TCVolt_Avg(25)","TCVolt_Avg(26)","TCVolt_Avg(27)","TCVolt_Avg(28)","TCVolt_Avg(29)","TCVolt_Avg(30)","TCVolt_Avg(31)","TCVolt_Avg(32)","TCTemp_Avg(1)","TCTemp_Avg(2)","TCTemp_Avg(3)","TCTemp_Avg(4)","TCTemp_Avg(5)","TCTemp_Avg(6)","TCTemp_Avg(7)","TCTemp_Avg(8)","TCTemp_Avg(9)","TCTemp_Avg(10)","TCTemp_Avg(11)","TCTemp_Avg(12)","TCTemp_Avg(13)","TCTemp_Avg(14)","TCTemp_Avg(15)","TCTemp_Avg(16)","TCTemp_Avg(17)","TCTemp_Avg(18)","TCTemp_Avg(19)","TCTemp_Avg(20)","TCTemp_Avg(21)","TCTemp_Avg(22)","TCTemp_Avg(23)","TCTemp_Avg(24)","TCTemp_Avg(25)","TCTemp_Avg(26)","TCTemp_Avg(27)","TCTemp_Avg(28)","TCTemp_Avg(29)","TCTemp_Avg(30)","TCTemp_Avg(31)","TCTemp_Avg(32)","TCVolt_Max(1)","TCVolt_Max(2)","TCVolt_Max(3)","TCVolt_Max(4)","TCVolt_Max(5)","TCVolt_Max(6)","TCVolt_Max(7)","TCVolt_Max(8)","TCVolt_Max(9)","TCVolt_Max(10)","TCVolt_Max(11)","TCVolt_Max(12)","TCVolt_Max(13)","TCVolt_Max(14)","TCVolt_Max(15)","TCVolt_Max(16)","TCVolt_Max(17)","TCVolt_Max(18)","TCVolt_Max(19)","TCVolt_Max(20)","TCVolt_Max(21)","TCVolt_Max(22)","TCVolt_Max(23)","TCVolt_Max(24)","TCVolt_Max(25)","TCVolt_Max(26)","TCVolt_Max(27)","TCVolt_Max(28)","TCVolt_Max(29)","TCVolt_Max(30)","TCVolt_Max(31)","TCVolt_Max(32)","TCVolt_Min(1)","TCVolt_Min(2)","TCVolt_Min(3)","TCVolt_Min(4)","TCVolt_Min(5)","TCVolt_Min(6)","TCVolt_Min(7)","TCVolt_Min(8)","TCVolt_Min(9)","TCVolt_Min(10)","TCVolt_Min(11)","TCVolt_Min(12)","TCVolt_Min(13)","TCVolt_Min(14)","TCVolt_Min(15)","TCVolt_Min(16)","TCVolt_Min(17)","TCVolt_Min(18)","TCVolt_Min(19)","TCVolt_Min(20)","TCVolt_Min(21)","TCVolt_Min(22)","TCVolt_Min(23)","TCVolt_Min(24)","TCVolt_Min(25)","TCVolt_Min(26)","TCVolt_Min(27)","TCVolt_Min(28)","TCVolt_Min(29)","TCVolt_Min(30)","TCVolt_Min(31)","TCVolt_Min(32)","Period_Avg(1)","Period_Avg(2)","Period_Avg(3)","VWC_Avg(1)","VWC_Avg(2)","VWC_Avg(3)"
"TS","RN","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Avg","Avg","Avg","Avg","Avg","Avg"
"2012-08-29 11:50:00",12906,12.55,0.365555,0.004071579,0.4577564,0.3887367,-0.001214905,-0.005220819,0.4127392,0.0005582025,0.4703297,0.3044797,0.00219995,0.463697,0.4075818,-0.00246264,0.3620724,-0.005778967,0.0001970142,0.0006238742,-0.0009193757,0.0009193845,0.3617112,0.00554913,0.492559,0.4084027,0.003677532,0.3004081,0.3588546,-0.002167117,0.5844972,0.4761086,-0.003513362,0.394612,9.478007,0.1055679,11.86855,10.07905,-0.03150006,-0.1353654,10.70137,0.01447308,12.19454,7.894478,0.0570403,12.02257,10.56765,-0.06385132,9.387712,-0.1498371,0.005108184,0.01617581,-0.02383757,0.0238378,9.378348,0.1438778,12.77088,10.58894,0.09535105,7.788913,9.304283,-0.05618902,15.15458,12.34437,-0.09109447,10.23138,0.3660981,0.00426879,0.4583614,0.389116,-0.000985015,-0.004925075,0.4137073,0.0006567368,0.4708371,0.3053602,0.002298579,0.4639421,0.4087822,-0.002298368,0.3624978,-0.005581853,0.0003283684,0.0009851053,-0.0003283684,0.0009851053,0.3624864,0.005582263,0.4931653,0.4084903,0.003940421,0.301087,0.3592086,-0.00197003,0.5847719,0.4761342,-0.002955045,0.394992,0.3651457,0.00394006,0.4573908,0.3884313,-0.001313474,-0.005582263,0.411774,0.0003283391,0.470189,0.303084,0.001970035,0.4636148,0.4058634,-0.002955316,0.3612053,-0.006238443,0,0.0003283383,-0.001313356,0.0003283391,0.3605485,0.005253426,0.4915675,0.4081319,0.003611722,0.2998004,0.3585576,-0.002298579,0.5844422,0.4760906,-0.003940421,0.3940421,24.41135,28.71636,28.71772,0.1970484,0.3300276,0.3300736
"2012-08-29 12:00:00",12907,12.51,0.3660451,0.003907369,0.4584429,0.3886028,-0.001017885,-0.004761076,0.4135903,0.000558199,0.4710188,0.3039868,0.002134281,0.4642548,0.4080411,-0.002232782,0.3619407,-0.00640284,-0.0002626816,0.0003283505,-0.001346243,0.0006567024,0.3611855,0.005122263,0.4930182,0.4084352,0.003579021,0.3013601,0.3592154,-0.002002934,0.5849892,0.4764694,-0.002561121,0.3949071,9.490716,0.1013103,11.88635,10.07558,-0.02639173,-0.1234452,10.72344,0.01447298,12.21241,7.881701,0.05533763,12.03703,10.57956,-0.05789157,9.384299,-0.1660129,-0.006810808,0.008513471,-0.03490539,0.01702698,9.364718,0.13281,12.78279,10.58978,0.09279683,7.813595,9.313639,-0.05193207,15.16734,12.35373,-0.06640474,10.23903,0.3661285,0.003940396,0.4587027,0.3887858,-0.000985008,-0.004268763,0.4137416,0.0006567328,0.4715341,0.305027,0.002298565,0.4643101,0.4087822,-0.001970101,0.3624864,-0.006238384,0,0.0003283664,-0.000985008,0.0009850991,0.362158,0.005581922,0.4934937,0.4084878,0.00361203,0.3014403,0.3592328,-0.001641832,0.5851489,0.476788,-0.001970198,0.3953203,0.3657974,0.00361203,0.4580486,0.3874694,-0.001313356,-0.004925459,0.413375,0.000328336,0.4708383,0.3033956,0.001970016,0.4639432,0.4071543,-0.002298565,0.3611853,-0.006895694,-0.0003283664,0.000328336,-0.001641832,0.000328336,0.3605436,0.004925225,0.4925496,0.4081594,0.003283484,0.3007586,0.3591996,-0.002298374,0.5847664,0.4761277,-0.003283391,0.3946599,24.40864,28.71501,28.71636,0.1969727,0.3299816,0.3300276
"2012-08-29 12:10:00",12908,12.83,0.3658181,0.003907399,0.4584792,0.387949,-0.0009850588,-0.004268588,0.4138889,0.0009850588,0.4714492,0.3032668,0.002298471,0.4643896,0.408274,-0.001674601,0.3616808,-0.00696108,-0.000328353,0.000295518,-0.001641765,0.0006895416,0.360433,0.004596947,0.4926936,0.4084382,0.003546212,0.301428,0.359251,-0.001773108,0.585125,0.4767685,-0.001444759,0.3945817,9.484828,0.101311,11.88729,10.05863,-0.02554061,-0.110676,10.73118,0.02554061,12.22357,7.863032,0.05959474,12.04053,10.5856,-0.04341906,9.37756,-0.1804869,-0.008513535,0.007662191,-0.04256768,0.01787843,9.345209,0.1191896,12.77438,10.58986,0.09194617,7.815356,9.314561,-0.04597315,15.17086,12.36148,-0.03745972,10.2306,0.3661246,0.003940354,0.4587164,0.3887816,-0.0009850304,-0.004268465,0.4140597,0.0009850885,0.4715291,0.3034073,0.00229854,0.4646268,0.4084834,-0.001641717,0.3618559,-0.006895341,-0.0003283435,0.0003283629,-0.001641717,0.0009850885,0.3608657,0.004925443,0.4928727,0.4084834,0.003611991,0.3014371,0.359544,-0.001641717,0.5851426,0.4767829,-0.0009850304,0.3950205,0.3654463,0.003611991,0.4580392,0.3874453,-0.0009850885,-0.004268717,0.4137128,0.0009850304,0.4711729,0.302076,0.002298404,0.4642777,0.4074742,-0.001970177,0.3611778,-0.007223557,-0.0003283629,0,-0.001641814,0.0003283496,0.3595361,0.004268465,0.4921869,0.4081309,0.003283435,0.3014193,0.3592078,-0.001970177,0.5851081,0.4767547,-0.001970177,0.3943405,24.40186,28.71365,28.71229,0.1967837,0.3299356,0.3298897
"2012-08-29 12:20:00",12909,13.54,0.3642129,0.003907089,0.4570965,0.3864734,-0.0009849803,-0.003907089,0.4103099,0.001346137,0.4702953,0.2964791,0.002626612,0.464057,0.4019705,-0.001411806,0.356725,-0.007617139,-0.0003283249,-0.0001969944,-0.00170729,0.0009849749,0.3551162,0.003710071,0.4894668,0.4076811,0.003611574,0.2990055,0.3585308,-0.00170729,0.5851079,0.4759398,-0.000196994,0.3923811,9.443211,0.101303,11.85144,10.02037,-0.02553857,-0.101303,10.63839,0.03490265,12.19365,7.687042,0.06810279,12.03191,10.42217,-0.03660531,9.24907,-0.1974972,-0.008512809,-0.00510767,-0.04426662,0.02553843,9.207357,0.09619472,12.69071,10.57023,0.09364089,7.752547,9.295889,-0.04426662,15.17042,12.34,-0.00510766,10.17354,0.3647836,0.003940057,0.4577033,0.3870891,-0.0009849595,-0.003611554,0.4123926,0.001641659,0.4708368,0.300101,0.002954985,0.46427,0.4058259,-0.0009849694,0.3598585,-0.007551356,-0.0003283198,0,-0.001641599,0.0009850143,0.3582168,0.004268395,0.4915221,0.4077959,0.003611719,0.301086,0.3592018,-0.001641599,0.5853999,0.4760902,0.0006566634,0.394334,0.3634535,0.003611563,0.4566973,0.3857898,-0.0009850143,-0.004268395,0.4090904,0.0009849595,0.470154,0.2938569,0.002298239,0.4639204,0.3985947,-0.00164169,0.3536133,-0.007879961,-0.0003283381,-0.0003283317,-0.00196999,0.0009849595,0.3526283,0.002954907,0.4879009,0.4074488,0.003611518,0.2974685,0.3578816,-0.00196999,0.585066,0.4754117,-0.0006566761,0.3907147,24.4005,28.70958,28.71094,0.1967459,0.3297977,0.3298437
"2012-08-29 12:30:00",12910,13.77,0.3631404,0.003940041,0.4560269,0.3846136,-0.0009850102,-0.003644537,0.4088449,0.00213419,0.46962,0.2927778,0.002889364,0.4642681,0.3980098,-0.0008536751,0.3526337,-0.008503923,-0.0004596713,-0.0003611704,-0.002035688,0.001050677,0.3517471,0.002298355,0.4876457,0.4072032,0.003710206,0.2971776,0.3575587,-0.001805852,0.5849647,0.4752346,0.00114918,0.3898342,9.415403,0.1021574,11.82371,9.97215,-0.02553934,-0.09449557,10.6004,0.05533528,12.17614,7.591078,0.07491542,12.03738,10.31948,-0.02213409,9.14299,-0.2204898,-0.01191836,-0.009364426,-0.05278133,0.02724196,9.120005,0.05959174,12.6435,10.55784,0.0961982,7.705152,9.270684,-0.04682213,15.1667,12.32171,0.02979594,10.1075,0.3634667,0.003940137,0.4567094,0.3854651,-0.0009849952,-0.003611649,0.4094297,0.002298413,0.470171,0.2938569,0.002955103,0.4652584,0.3992672,-0.0003283369,0.353299,-0.008208293,-0.0003283317,-0.0003283317,-0.00196999,0.001313347,0.3526316,0.002955014,0.488899,0.4074636,0.003940137,0.2978048,0.357885,-0.001641659,0.5854311,0.4754432,0.001641702,0.3907147,0.3628123,0.003939981,0.4557264,0.3834975,-0.0009850343,-0.003940018,0.4081227,0.001641659,0.4691986,0.2915632,0.002626654,0.4636117,0.3963026,-0.0009850343,0.3509921,-0.008865308,-0.0009850106,-0.0006566737,-0.002298383,0.0009849952,0.3506676,0.001641684,0.4865952,0.4071331,0.003611649,0.2961599,0.3572305,-0.001970069,0.5844461,0.4747751,0.0006566634,0.3894075,24.39914,28.6811,28.67567,0.1967081,0.328833,0.3286493
"2012-08-29 12:40:00",12911,13.72,0.3632627,0.004169769,0.4546037,0.3825684,-0.0009849855,-0.003710112,0.4060767,0.002626625,0.4685248,0.2887321,0.003250449,0.4644206,0.3924182,-0.0003611615,0.3473698,-0.009291645,-0.0009193146,-0.0007551496,-0.002298288,0.001050646,0.3483876,0.001083483,0.486646,0.4067969,0.003939921,0.295724,0.3565958,-0.00219979,0.5874752,0.4746621,0.002725103,0.3898553,9.418573,0.1081138,11.78681,9.919122,-0.0255387,-0.09619579,10.52863,0.06810314,12.14774,7.486182,0.08427764,12.04134,10.1745,-0.009364194,9.006512,-0.2409138,-0.02383599,-0.01957952,-0.05959,0.02724116,9.032901,0.02809255,12.61758,10.54731,0.1021543,7.667464,9.245718,-0.05703615,15.23179,12.30687,0.07065646,10.10805,0.3644381,0.004596516,0.4550648,0.3834889,-0.0009849678,-0.003611549,0.407457,0.002954957,0.4688648,0.2915567,0.003611614,0.4649248,0.3962938,-0.0003283226,0.350656,-0.008864898,-0.0006566591,-0.0003283296,-0.002298141,0.001313318,0.350656,0.001641648,0.4875694,0.4068092,0.004268194,0.2968099,0.3568942,-0.001969951,0.5887077,0.4747749,0.003611364,0.391049,0.362803,0.003939942,0.4543985,0.3821675,-0.0009850101,-0.00394004,0.4051574,0.0022983,0.468188,0.2869591,0.002954966,0.4636014,0.3903787,-0.0006566591,0.3457264,-0.009521527,-0.0009850101,-0.0009850101,-0.002298357,0.0009849174,0.3470432,0.0006566116,0.4859278,0.4067709,0.003611625,0.2951469,0.3565401,-0.002298357,0.5860683,0.4744347,0.001969977,0.3890654,24.391,28.69195,28.69195,0.1964815,0.3292004,0.3292004
"2012-08-29 12:50:00",12912,13.05,0.3650547,0.003939791,0.4543895,0.3822257,-0.0009849484,-0.004005456,0.4070792,0.002954845,0.4684415,0.2906255,0.003611478,0.4642062,0.3946032,9.84974E-005,0.3483434,-0.01044046,-0.001346099,-0.001280435,-0.002790689,0.0009521164,0.3491642,0.0001969876,0.4870898,0.4066195,0.004235279,0.2960098,0.3563872,-0.002265382,0.586504,0.4746795,0.004300947,0.3894815,9.465037,0.1021509,11.78126,9.910235,-0.02553774,-0.1038535,10.55462,0.07661323,12.14558,7.535272,0.09363838,12.03577,10.23115,0.00255384,9.031755,-0.2707002,-0.03490165,-0.03319913,-0.07235698,0.02468647,9.053038,0.005107494,12.62908,10.54271,0.1098123,7.674876,9.24031,-0.05873682,15.20661,12.30732,0.1115149,10.09836,0.3654228,0.004268093,0.4543982,0.3824933,-0.0009849174,-0.003939747,0.4074456,0.002954902,0.4685132,0.2908936,0.003611546,0.4642479,0.3953002,0.0003283224,0.3486784,-0.01017748,-0.0009849174,-0.0009849174,-0.002626447,0.0009849672,0.3496525,0.0003283192,0.4872304,0.406789,0.004268191,0.2964751,0.3565559,-0.001969873,0.587027,0.4747542,0.004924836,0.3897097,0.3647478,0.003611524,0.4543752,0.382148,-0.0009849672,-0.00426815,0.4067788,0.002954752,0.4681832,0.2902223,0.003611364,0.4639052,0.3936387,-0.0003283148,0.3480042,-0.01083464,-0.001641612,-0.001641612,-0.002954902,0.0006566408,0.3486608,-0.0003283224,0.4868775,0.4064505,0.003939747,0.2954752,0.3562188,-0.002298257,0.5860555,0.4744112,0.003611364,0.3893707,24.38829,28.71229,28.71094,0.1964059,0.3298897,0.3298437
"2012-08-29 13:00:00",12913,12.97,0.3661176,0.00328327,0.4545032,0.3821728,-0.001116312,-0.004169754,0.4075524,0.002954944,0.4685228,0.2922768,0.003677263,0.4642217,0.3969475,0.0003611598,0.3497997,-0.01119595,-0.001641636,-0.001674468,-0.003348937,0.0004924907,0.3500952,-0.0002298301,0.4874016,0.406666,0.004432416,0.296545,0.3560708,-0.00229829,0.5857356,0.4747282,0.00568006,0.3895273,9.492594,0.08512862,11.7842,9.908865,-0.02894374,-0.1081134,10.56689,0.07661578,12.14769,7.578088,0.09534408,12.03618,10.29193,0.009364151,9.069513,-0.2902888,-0.04256433,-0.04341562,-0.08683124,0.0127693,9.077175,-0.005959034,12.63717,10.54391,0.1149237,7.688753,9.232106,-0.05959006,15.18669,12.30858,0.1472726,10.09955,0.3667411,0.003611564,0.4547327,0.382182,-0.0009849672,-0.003939911,0.407786,0.002955015,0.4688494,0.2935242,0.003939922,0.4642657,0.3985888,0.0006566537,0.3506531,-0.01083464,-0.001641612,-0.001313296,-0.002954902,0.0006566701,0.3513097,0,0.4878937,0.4071198,0.004596622,0.2971358,0.3562382,-0.002298257,0.5860584,0.4747725,0.00623821,0.3900523,0.3654228,0.002954933,0.4543982,0.3821673,-0.00131332,-0.004268356,0.4071218,0.002954902,0.4681987,0.2912234,0.003611546,0.4639218,0.3959568,0.0003283224,0.349335,-0.01149155,-0.001641675,-0.001969961,-0.003611595,0.0003283259,0.3493367,-0.000328335,0.4872304,0.4064651,0.004268212,0.2961482,0.3559015,-0.002298345,0.5854067,0.4744282,0.004924836,0.389064,24.39372,28.70823,28.71094,0.196557,0.3297518,0.3298437
