"TOA5","Kanga_Sap03J","CR1000","33592","CR1000.Std.19","CPU:UTS SAP_3soil_sensor multiplexer-4x16mode-22Nov2010.CR1","50626","TenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","TCVolt_Avg(1)","TCVolt_Avg(2)","TCVolt_Avg(3)","TCVolt_Avg(4)","TCVolt_Avg(5)","TCVolt_Avg(6)","TCVolt_Avg(7)","TCVolt_Avg(8)","TCVolt_Avg(9)","TCVolt_Avg(10)","TCVolt_Avg(11)","TCVolt_Avg(12)","TCVolt_Avg(13)","TCVolt_Avg(14)","TCVolt_Avg(15)","TCVolt_Avg(16)","TCVolt_Avg(17)","TCVolt_Avg(18)","TCVolt_Avg(19)","TCVolt_Avg(20)","TCVolt_Avg(21)","TCVolt_Avg(22)","TCVolt_Avg(23)","TCVolt_Avg(24)","TCVolt_Avg(25)","TCVolt_Avg(26)","TCVolt_Avg(27)","TCVolt_Avg(28)","TCVolt_Avg(29)","TCVolt_Avg(30)","TCVolt_Avg(31)","TCVolt_Avg(32)","TCTemp_Avg(1)","TCTemp_Avg(2)","TCTemp_Avg(3)","TCTemp_Avg(4)","TCTemp_Avg(5)","TCTemp_Avg(6)","TCTemp_Avg(7)","TCTemp_Avg(8)","TCTemp_Avg(9)","TCTemp_Avg(10)","TCTemp_Avg(11)","TCTemp_Avg(12)","TCTemp_Avg(13)","TCTemp_Avg(14)","TCTemp_Avg(15)","TCTemp_Avg(16)","TCTemp_Avg(17)","TCTemp_Avg(18)","TCTemp_Avg(19)","TCTemp_Avg(20)","TCTemp_Avg(21)","TCTemp_Avg(22)","TCTemp_Avg(23)","TCTemp_Avg(24)","TCTemp_Avg(25)","TCTemp_Avg(26)","TCTemp_Avg(27)","TCTemp_Avg(28)","TCTemp_Avg(29)","TCTemp_Avg(30)","TCTemp_Avg(31)","TCTemp_Avg(32)","TCVolt_Max(1)","TCVolt_Max(2)","TCVolt_Max(3)","TCVolt_Max(4)","TCVolt_Max(5)","TCVolt_Max(6)","TCVolt_Max(7)","TCVolt_Max(8)","TCVolt_Max(9)","TCVolt_Max(10)","TCVolt_Max(11)","TCVolt_Max(12)","TCVolt_Max(13)","TCVolt_Max(14)","TCVolt_Max(15)","TCVolt_Max(16)","TCVolt_Max(17)","TCVolt_Max(18)","TCVolt_Max(19)","TCVolt_Max(20)","TCVolt_Max(21)","TCVolt_Max(22)","TCVolt_Max(23)","TCVolt_Max(24)","TCVolt_Max(25)","TCVolt_Max(26)","TCVolt_Max(27)","TCVolt_Max(28)","TCVolt_Max(29)","TCVolt_Max(30)","TCVolt_Max(31)","TCVolt_Max(32)","TCVolt_Min(1)","TCVolt_Min(2)","TCVolt_Min(3)","TCVolt_Min(4)","TCVolt_Min(5)","TCVolt_Min(6)","TCVolt_Min(7)","TCVolt_Min(8)","TCVolt_Min(9)","TCVolt_Min(10)","TCVolt_Min(11)","TCVolt_Min(12)","TCVolt_Min(13)","TCVolt_Min(14)","TCVolt_Min(15)","TCVolt_Min(16)","TCVolt_Min(17)","TCVolt_Min(18)","TCVolt_Min(19)","TCVolt_Min(20)","TCVolt_Min(21)","TCVolt_Min(22)","TCVolt_Min(23)","TCVolt_Min(24)","TCVolt_Min(25)","TCVolt_Min(26)","TCVolt_Min(27)","TCVolt_Min(28)","TCVolt_Min(29)","TCVolt_Min(30)","TCVolt_Min(31)","TCVolt_Min(32)","Period_Avg(1)","Period_Avg(2)","Period_Avg(3)","VWC_Avg(1)","VWC_Avg(2)","VWC_Avg(3)"
"TS","RN","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Avg","Avg","Avg","Avg","Avg","Avg"
"2012-08-08 10:20:00",41578,13.86,0.344809,0.3909585,0.3081618,0.3482644,0.003123155,"NAN",0.4024543,0.003654749,-0.004983746,0.3161358,0.4607642,0.4220571,0.4622926,0.3339444,0.00315638,-0.001362231,0.384679,"NAN",0.006611756,0.002425427,0.2889578,-0.0008306318,0.4509628,"NAN",0.004452143,-0.3702593,0.3857422,"NAN",0.003222825,0.42116,0.3697942,0.0009635264,8.940117,10.13666,7.989947,9.029707,0.08097716,"NAN",10.43471,0.09476033,-0.1292186,8.196693,11.94653,10.94296,11.98616,8.658426,0.0818386,-0.03531993,9.973845,"NAN",0.1714296,0.06288648,7.492033,-0.02153662,11.69241,"NAN",0.1154352,-9.600188,10.00141,"NAN",0.08356141,10.9197,9.587919,0.02498231,0.3452216,0.3920669,0.3083403,0.3495376,0.003654861,"NAN",0.4030354,0.003654896,-0.00465158,0.3166469,0.4618415,0.4226389,0.4625105,0.3342569,0.003654896,-0.0009967005,0.3854217,"NAN",0.007641466,0.002658106,0.2890691,-0.0003322335,0.4512092,"NAN",0.004983565,-0.3694437,0.3860862,"NAN",0.003654861,0.421638,0.3701413,0.0009967899,0.3441939,0.3900421,0.3076482,0.347184,0.002657901,"NAN",0.4020025,0.003654568,-0.005315736,0.3156218,0.4601434,0.4216043,0.4621368,0.3335624,0.002990101,-0.0016613,0.3840667,"NAN",0.005648421,0.002325634,0.2887231,-0.0009967899,0.4505143,"NAN",0.004319089,-0.3708058,0.3853957,"NAN",0.002990139,0.4206076,0.3694437,0.000664467,26.57064,26.18001,26.95991,0.2605041,0.2485411,0.2726382
"2012-08-08 10:30:00",41579,13.95,0.3433571,0.3897029,0.3074434,0.3462475,0.002425261,"NAN",0.4014637,0.003654503,-0.005481753,0.3152507,0.4594042,0.4211316,0.4613644,0.3326927,0.002558154,-0.0006644576,0.3830583,"NAN",0.009634589,0.002259148,0.288008,-0.0002990052,0.4501683,"NAN",0.004817297,-0.3686396,0.3852178,"NAN",0.002890381,0.4195037,0.3693705,0.0008305709,8.902474,10.1041,7.971319,8.977415,0.06288217,"NAN",10.40903,0.09475394,-0.1421309,8.173744,11.91127,10.91897,11.96209,8.625971,0.06632781,-0.01722806,9.931825,"NAN",0.2498055,0.05857518,7.46741,-0.007752608,11.67181,"NAN",0.1249029,-9.558192,9.987814,"NAN",0.0749418,10.87676,9.576937,0.02153504,0.3441939,0.3900421,0.3076482,0.3468518,0.002657834,"NAN",0.4020025,0.003654568,-0.00498344,0.3156218,0.4598112,0.4212721,0.4618046,0.3335624,0.002990101,-0.00033222,0.3840619,"NAN",0.01096337,0.002325634,0.2887109,0,0.4505086,"NAN",0.00498344,-0.3680997,0.3853908,"NAN",0.002990101,0.4206076,0.3694437,0.0009967005,0.342851,0.3893618,0.3069713,0.3455088,0.00232554,"NAN",0.4013217,0.00365442,-0.005647898,0.3149446,0.4587958,0.4205905,0.4607891,0.3318878,0.00232554,-0.0009967005,0.382053,"NAN",0.008305732,0.00199332,0.2873703,-0.0006644584,0.4494936,"NAN",0.00431898,-0.3694437,0.3847108,"NAN",0.00232554,0.4185972,0.3690964,0.00033222,26.56657,26.18272,26.95041,0.2603784,0.2486234,0.2723397
"2012-08-08 10:40:00",41580,14.1,0.3422137,0.3889562,0.307298,0.3457019,0.002358719,"NAN",0.4012149,0.004152675,-0.00544831,0.3148392,0.4587211,0.4202507,0.4603158,0.3317822,0.002358719,9.966221E-005,0.3812156,"NAN",0.01292312,0.00215939,0.2870994,9.966249E-005,0.4483893,"NAN",0.005049652,-0.3675948,0.3836408,"NAN",0.002225834,0.4180249,0.3686247,0.0005647633,8.872828,10.08474,7.96755,8.963268,0.06115688,"NAN",10.40258,0.1076705,-0.1412638,8.163076,11.89356,10.89613,11.93491,8.602364,0.06115687,0.002584042,9.884048,"NAN",0.3350705,0.05598865,7.443849,0.002584049,11.62568,"NAN",0.1309274,-9.531101,9.946925,"NAN",0.05771143,10.83842,9.557597,0.01464318,0.3428446,0.3893618,0.3076312,0.3461681,0.00265771,"NAN",0.4016464,0.004318796,-0.00531537,0.3152734,0.4587958,0.4205905,0.4607891,0.3322164,0.002657698,0.0006644245,0.382053,"NAN",0.01461734,0.002325505,0.2877025,0.0003322151,0.4491614,"NAN",0.005647608,-0.367094,0.3840463,"NAN",0.00232554,0.4185972,0.3687642,0.0009966452,0.3418459,0.3883561,0.3069636,0.3451685,0.002325474,"NAN",0.4006473,0.003654381,-0.005647679,0.3142723,0.4581207,0.4195841,0.4601132,0.3312156,0.001993283,-0.00033222,0.380383,"NAN",0.01096326,0.0016611,0.2863665,-0.00033222,0.4478214,"NAN",0.004650993,-0.3680997,0.3827085,"NAN",0.001661061,0.4172579,0.3684216,0.0003322123,26.56385,26.18137,26.95177,0.2602946,0.2485823,0.2723823
"2012-08-08 10:50:00",41581,14.14,0.3411745,0.3876832,0.3069242,0.3446295,0.002092893,"NAN",0.3999084,0.004318665,-0.005547822,0.3134354,0.4578449,0.4190434,0.4591738,0.330843,0.003155942,0.00116271,0.3790459,"NAN",0.01644412,0.001960012,0.2851316,0.0005315268,0.4477459,"NAN",0.006079348,-0.3659903,0.382069,"NAN",0.0011295,0.4162529,0.3681496,0.0001993268,8.845884,10.05174,7.957859,8.935463,0.05426452,"NAN",10.3687,0.1119743,-0.1438439,8.126678,11.87084,10.86482,11.9053,8.578012,0.08182727,0.03014673,9.827793,"NAN",0.4263631,0.05081919,7.392829,0.01378143,11.609,"NAN",0.1576253,-9.489497,9.906174,"NAN",0.02928567,10.79247,9.545279,0.005168145,0.3415147,0.3880245,0.3069646,0.3451691,0.002325489,"NAN",0.4003164,0.004318766,-0.005315261,0.3142728,0.4581214,0.4195847,0.4597825,0.3312161,0.003654164,0.001660984,0.3800508,"NAN",0.01827066,0.002325486,0.2860352,0.0006644255,0.4478228,"NAN",0.006311906,-0.3654132,0.3827085,"NAN",0.001661061,0.416927,0.3684234,0.0006644255,0.3404987,0.387338,0.3066176,0.3441528,0.001993163,"NAN",0.3992969,0.004318519,-0.005647617,0.3129266,0.4574309,0.4185642,0.4587596,0.3302006,0.002657698,0.0006644245,0.3780365,"NAN",0.01494955,0.001660969,0.2843579,0.0003322038,0.447469,"NAN",0.005647608,-0.3667623,0.3813585,"NAN",0.0009965814,0.4155744,0.3680707,-0.0003321967,26.5625,26.17866,26.95041,0.2602527,0.2484999,0.2723397
"2012-08-08 11:00:00",41582,14.09,0.3398701,0.3870088,0.3065508,0.3438233,0.001993178,"NAN",0.3990343,0.004683969,-0.005647337,0.3124971,0.4569029,0.4176705,0.4584642,0.3298378,0.004019576,0.002292155,0.3769432,"NAN",0.02046329,0.001594544,0.2836625,0.0009633695,0.4473689,"NAN",0.006909683,-0.3644194,0.3809296,"NAN",0.0005979544,0.4146475,0.3674424,-0.0001328787,8.812064,10.03425,7.948178,8.914559,0.05167912,"NAN",10.34604,0.1214459,-0.1464242,8.102351,11.84642,10.82923,11.8869,8.551951,0.1042195,0.05943098,9.773275,"NAN",0.5305719,0.04134332,7.354739,0.02497824,11.59923,"NAN",0.1791542,-9.448768,9.876632,"NAN",0.01550376,10.75085,9.526944,-0.003445278,0.3401729,0.3873453,0.3069529,0.3441593,0.00232539,"NAN",0.3996367,0.004982947,-0.005315177,0.3129325,0.4574346,0.4185642,0.4587683,0.3302069,0.004650713,0.002657592,0.3780365,"NAN",0.02225696,0.001993191,0.2843633,0.001328794,0.4478057,"NAN",0.007308263,-0.3637518,0.3813657,"NAN",0.0009965895,0.4152501,0.3677455,0.0003321965,0.3395016,0.3866731,0.3062823,0.3431558,0.001660967,"NAN",0.3986321,0.004650707,-0.005979488,0.3119296,0.4564337,0.4169027,0.4577625,0.3295358,0.003321938,0.001660969,0.3760429,"NAN",0.01860285,0.001328774,0.2830288,0.0006643876,0.4468001,"NAN",0.006311802,-0.3650879,0.3796971,"NAN",0,0.4135808,0.3670737,-0.0003322001,26.55843,26.17866,26.94634,0.260127,0.2484999,0.2722118
"2012-08-08 11:10:00",41583,14.04,0.3389264,0.3862625,0.3061067,0.3427797,0.001893444,"NAN",0.398055,0.004982744,-0.005580674,0.3117871,0.4558881,0.4165576,0.4573497,0.3289277,0.004550905,0.003454695,0.3754998,"NAN",0.02451509,0.001162647,0.2829536,0.001262294,0.4462548,"NAN",0.007773075,-0.3630761,0.3798181,"NAN",9.965632E-005,0.4131029,0.3667302,-0.0005979289,8.787596,10.0149,7.936664,8.887503,0.0490932,"NAN",10.32065,0.1291926,-0.1446957,8.083941,11.82011,10.80037,11.858,8.528355,0.1179959,0.08957333,9.73585,"NAN",0.6356267,0.0301451,7.336359,0.03272875,11.57034,"NAN",0.2015403,-9.413938,9.847815,"NAN",0.002583889,10.7108,9.508476,-0.0155031,0.3395016,0.3863409,0.3062823,0.3431558,0.001993141,"NAN",0.3986306,0.005315043,-0.005315075,0.3122618,0.4561015,0.4169027,0.4577625,0.3292037,0.004650663,0.003986142,0.3760429,"NAN",0.02624092,0.001660915,0.2830288,0.001328761,0.4468001,"NAN",0.008304462,-0.3627226,0.3803578,"NAN",0.0003321902,0.413913,0.3670737,-0.0003321829,0.3384747,0.3859741,0.3059227,0.3424607,0.001660818,"NAN",0.3975998,0.004650663,-0.005647233,0.3112513,0.4553963,0.416201,0.4570571,0.3285245,0.004318472,0.002989712,0.3750295,"NAN",0.02258915,0.0006643272,0.2826839,0.0009965766,0.4460957,"NAN",0.007308184,-0.3637518,0.379348,"NAN",0,0.4125472,0.3663764,-0.0006643868,26.55979,26.1773,26.94634,0.260169,0.2484587,0.2722118
"2012-08-08 11:20:00",41584,13.96,0.3379885,0.3857175,0.3057707,0.3416753,0.001395006,"NAN",0.3970767,0.005081783,-0.005779285,0.3111182,0.4546371,0.4154442,0.4564639,0.3280575,0.005281056,0.00441749,0.374491,"NAN",0.02786675,0.0003653678,0.2830853,0.001328571,0.4455696,"NAN",0.00883499,-0.3623014,0.3784435,"NAN",-0.0008967721,0.4117242,0.3663203,-0.001029636,8.763279,10.00077,7.92795,8.858869,0.03616971,"NAN",10.29529,0.1317604,-0.1498453,8.066598,11.78767,10.77151,11.83504,8.505792,0.1369272,0.1145367,9.709697,"NAN",0.7225285,0.009473256,7.339775,0.03444719,11.55258,"NAN",0.2290736,-9.393849,9.812175,"NAN",-0.02325151,10.67506,9.49785,-0.02669639,0.3384702,0.3863063,0.3059227,0.3421285,0.001660818,"NAN",0.3975998,0.005314392,-0.005314318,0.3115695,0.4553963,0.416201,0.4570571,0.3285098,0.005978308,0.004650028,0.3750077,"NAN",0.02955941,0.0006643272,0.2833196,0.001328654,0.4460957,"NAN",0.009299589,-0.3620179,0.379663,"NAN",-0.0003321591,0.412215,0.3663764,-0.000664299,0.3377727,0.3855989,0.3055564,0.3411031,0.0009963795,"NAN",0.3968912,0.004981898,-0.005978865,0.3105383,0.454017,0.414826,0.4563418,0.3271446,0.004650228,0.00398591,0.3739845,"NAN",0.02624092,0,0.2829718,0.001328506,0.4447174,"NAN",0.008635521,-0.3623905,0.3772976,"NAN",-0.001328513,0.4108405,0.3660237,-0.001328513,26.56114,26.17323,26.93821,0.2602108,0.2483353,0.2719561
"2012-08-08 11:30:00",41585,13.94,0.3373844,0.3854066,0.3055688,0.3410375,0.001328415,"NAN",0.3964989,0.005313662,-0.005712186,0.31065,0.4535875,0.4137682,0.4557794,0.327388,0.00654244,0.004981547,0.3737165,"NAN",0.0308192,-9.962691E-005,0.2828861,0.001627301,0.4454841,"NAN",0.0109594,-0.3613954,0.3772036,"NAN",-0.00159409,0.4106797,0.3663106,-0.001560879,8.747614,9.992708,7.922717,8.842332,0.03444315,"NAN",10.2803,0.1377726,-0.1481056,8.05446,11.76046,10.72805,11.81729,8.488435,0.1696323,0.1291615,9.689615,"NAN",0.7990796,-0.002583127,7.334609,0.04219266,11.55036,"NAN",0.2841553,-9.37036,9.780027,"NAN",-0.04133157,10.64797,9.497599,-0.04047047,0.3377744,0.3856008,0.3058901,0.3414278,0.001328513,"NAN",0.3968932,0.005314051,-0.005313567,0.310872,0.4540192,0.4148281,0.4563442,0.3278105,0.006642293,0.005313709,0.3739763,"NAN",0.03221181,0,0.2829732,0.001992513,0.4459909,"NAN",0.01162299,-0.3609715,0.3776184,"NAN",-0.001328427,0.4115068,0.3663374,-0.001328342,0.3370617,0.3848813,0.305182,0.3407146,0.001328322,"NAN",0.396172,0.005313287,-0.005978308,0.3101632,0.4529577,0.412776,0.4556144,0.3270993,0.005978308,0.004649496,0.3735905,"NAN",0.02955852,-0.000332098,0.2826229,0.001328427,0.4447197,"NAN",0.009963547,-0.3616876,0.3769113,"NAN",-0.001992641,0.4101194,0.3662848,-0.001992588,26.56114,26.17594,26.94092,0.2602108,0.2484176,0.2720414
