"TOA5","Kanga_Sap03J","CR1000","33592","CR1000.Std.19","CPU:UTS_SAP02_3J_HMP45_21_08_2012.CR1","49037","TenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","TCVolt_Avg(1)","TCVolt_Avg(2)","TCVolt_Avg(3)","TCVolt_Avg(4)","TCVolt_Avg(5)","TCVolt_Avg(6)","TCVolt_Avg(7)","TCVolt_Avg(8)","TCVolt_Avg(9)","TCVolt_Avg(10)","TCVolt_Avg(11)","TCVolt_Avg(12)","TCVolt_Avg(13)","TCVolt_Avg(14)","TCVolt_Avg(15)","TCVolt_Avg(16)","TCVolt_Avg(17)","TCVolt_Avg(18)","TCVolt_Avg(19)","TCVolt_Avg(20)","TCVolt_Avg(21)","TCVolt_Avg(22)","TCVolt_Avg(23)","TCVolt_Avg(24)","TCVolt_Avg(25)","TCVolt_Avg(26)","TCVolt_Avg(27)","TCVolt_Avg(28)","TCVolt_Avg(29)","TCVolt_Avg(30)","TCVolt_Avg(31)","TCVolt_Avg(32)","TCTemp_Avg(1)","TCTemp_Avg(2)","TCTemp_Avg(3)","TCTemp_Avg(4)","TCTemp_Avg(5)","TCTemp_Avg(6)","TCTemp_Avg(7)","TCTemp_Avg(8)","TCTemp_Avg(9)","TCTemp_Avg(10)","TCTemp_Avg(11)","TCTemp_Avg(12)","TCTemp_Avg(13)","TCTemp_Avg(14)","TCTemp_Avg(15)","TCTemp_Avg(16)","TCTemp_Avg(17)","TCTemp_Avg(18)","TCTemp_Avg(19)","TCTemp_Avg(20)","TCTemp_Avg(21)","TCTemp_Avg(22)","TCTemp_Avg(23)","TCTemp_Avg(24)","TCTemp_Avg(25)","TCTemp_Avg(26)","TCTemp_Avg(27)","TCTemp_Avg(28)","TCTemp_Avg(29)","TCTemp_Avg(30)","TCTemp_Avg(31)","TCTemp_Avg(32)","TCVolt_Max(1)","TCVolt_Max(2)","TCVolt_Max(3)","TCVolt_Max(4)","TCVolt_Max(5)","TCVolt_Max(6)","TCVolt_Max(7)","TCVolt_Max(8)","TCVolt_Max(9)","TCVolt_Max(10)","TCVolt_Max(11)","TCVolt_Max(12)","TCVolt_Max(13)","TCVolt_Max(14)","TCVolt_Max(15)","TCVolt_Max(16)","TCVolt_Max(17)","TCVolt_Max(18)","TCVolt_Max(19)","TCVolt_Max(20)","TCVolt_Max(21)","TCVolt_Max(22)","TCVolt_Max(23)","TCVolt_Max(24)","TCVolt_Max(25)","TCVolt_Max(26)","TCVolt_Max(27)","TCVolt_Max(28)","TCVolt_Max(29)","TCVolt_Max(30)","TCVolt_Max(31)","TCVolt_Max(32)","TCVolt_Min(1)","TCVolt_Min(2)","TCVolt_Min(3)","TCVolt_Min(4)","TCVolt_Min(5)","TCVolt_Min(6)","TCVolt_Min(7)","TCVolt_Min(8)","TCVolt_Min(9)","TCVolt_Min(10)","TCVolt_Min(11)","TCVolt_Min(12)","TCVolt_Min(13)","TCVolt_Min(14)","TCVolt_Min(15)","TCVolt_Min(16)","TCVolt_Min(17)","TCVolt_Min(18)","TCVolt_Min(19)","TCVolt_Min(20)","TCVolt_Min(21)","TCVolt_Min(22)","TCVolt_Min(23)","TCVolt_Min(24)","TCVolt_Min(25)","TCVolt_Min(26)","TCVolt_Min(27)","TCVolt_Min(28)","TCVolt_Min(29)","TCVolt_Min(30)","TCVolt_Min(31)","TCVolt_Min(32)","Period_Avg(1)","Period_Avg(2)","Period_Avg(3)","VWC_Avg(1)","VWC_Avg(2)","VWC_Avg(3)"
"TS","RN","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Avg","Avg","Avg","Avg","Avg","Avg"
"2012-10-02 13:30:00",6054,13.8,0.3477609,0.396167,0.3128157,0.3485566,-0.001226727,"NAN",0.4012396,0.007924002,-0.004575364,0.320806,0.4523644,0.4203368,0.4676819,"NAN",0.02244581,-0.007691915,0.3847948,"NAN",0.004442743,0.3510101,0.2889774,0.2841368,0.4789877,"NAN",0.01220097,0.2923597,0.3837339,"NAN",-0.001425657,0.4033947,0.4350576,0.4200052,9.016653,10.2717,8.110612,9.037283,-0.03180658,"NAN",10.40322,0.2054535,-0.1186301,8.31778,11.72875,10.89836,12.12589,"NAN",0.5819746,-0.199436,9.976848,"NAN",0.1151914,9.100896,7.492542,7.367037,12.41902,"NAN",0.3163467,7.5802,9.94934,"NAN",-0.03696444,10.45909,11.28003,10.88976,0.3484596,0.3968682,0.313317,0.3491247,-0.0009946482,"NAN",0.402173,0.007957257,-0.004310157,0.3216058,0.4529006,0.4207377,0.4678204,"NAN",0.02287699,-0.007294054,0.3859248,"NAN",0.005304735,0.3524382,0.2894452,0.2848035,0.4804194,"NAN",0.01259888,0.3660267,0.3849323,"NAN",-0.00132618,0.4041623,0.4356513,0.4210633,0.3471286,0.3955343,0.3119847,0.3474601,-0.00165773,"NAN",0.4008379,0.007625535,-0.004641708,0.3199418,0.451234,0.4194056,0.467151,"NAN",0.02221351,-0.008288648,0.3835986,"NAN",0.003978575,0.3497809,0.2881134,0.2834718,0.4770946,"NAN",0.01193565,-0.3666898,0.3822725,"NAN",-0.001657753,0.4024968,0.4346593,0.4194081,24.88878,24.75043,25.472,0.2105166,0.2065811,0.2274025
"2012-10-02 13:40:00",6055,13.84,0.3482362,0.3972074,0.3130578,0.3490982,-0.001160455,"NAN",0.4023466,0.007957411,-0.004476044,0.3219767,0.4530087,0.4208144,"NAN","NAN","NAN","NAN",0.3855034,"NAN",0.003249258,0.3514503,0.0897513,0.2844426,0.481089,"NAN",0.01190289,0.321512,0.3852691,"NAN",-0.001326227,0.1423691,0.4345053,0.4191542,9.028975,10.29867,8.116888,9.051326,-0.03008828,"NAN",10.43192,0.2063197,-0.1160549,8.348133,11.74545,10.91074,"NAN","NAN","NAN","NAN",9.995218,"NAN",0.08424675,9.112309,2.327056,7.374967,12.4735,"NAN",0.3086181,8.336078,9.989143,"NAN",-0.03438643,3.691315,11.26571,10.8677,0.3484694,0.3972161,0.3133299,0.3494706,-0.0009946511,"NAN",0.4025212,0.008288984,-0.004310155,0.3225985,0.453248,0.4210889,0.4678368,0.5663043,"NAN","NAN",0.385927,"NAN",0.003647204,0.3521086,0.2761732,0.2848035,0.481425,"NAN",0.01193638,0.3660338,0.3856041,"NAN",-0.001326162,0.3699992,0.4346831,0.4197428,0.3481279,0.3971973,0.3129835,0.3488005,-0.001326256,"NAN",0.402173,0.007625659,-0.004641925,0.3212815,0.4528978,0.4204059,0.4668363,0.2970772,"NAN","NAN",0.384941,"NAN",0.002652324,0.3507969,-0.001989359,0.2841468,0.4804194,"NAN",0.01160392,0.07625431,0.38493,"NAN",-0.001326264,0.02188295,0.434318,0.4187602,24.88878,24.74365,25.472,0.2105166,0.2063889,0.2274025
"2012-10-02 13:50:00",6056,13.83,0.3484696,0.3975073,0.3132911,0.3490664,-0.001127302,"NAN",0.4032101,0.007891131,-0.00431028,0.3228731,0.453541,0.421877,"NAN",0.3634564,"NAN","NAN",0.3870963,"NAN",0.002354062,0.3529788,0.2865011,0.2857053,0.4826851,"NAN",0.01170407,0.3316944,0.3863006,"NAN",-0.001425703,0.3926668,0.4342442,0.419125,9.035027,10.30645,8.122935,9.050501,-0.02922869,"NAN",10.45431,0.2046012,-0.111757,8.371375,11.75925,10.93829,"NAN",9.423597,"NAN","NAN",10.03652,"NAN",0.06103611,9.151939,7.428338,7.407705,12.51488,"NAN",0.3034629,8.600083,10.01589,"NAN",-0.03696564,10.18095,11.25894,10.86694,0.3488188,0.3978921,0.3136716,0.3494819,-0.0009946214,"NAN",0.4038605,0.007957843,-0.004310026,0.3232874,0.4535971,0.423092,1.069894,0.3733555,-0.001989461,-0.006962726,0.3882764,"NAN",0.002983901,0.354124,0.289135,0.2871455,0.4841021,"NAN",0.01193677,0.3647345,0.3876133,"NAN",-0.0009947304,0.3995501,0.4343656,0.4194317,0.3481175,0.3965542,0.3129742,0.348477,-0.001657792,"NAN",0.4024901,0.007625431,-0.004310498,0.3222573,0.4532158,0.4210564,0.3812922,0.3431444,-0.005636493,-0.0155824,0.3862447,"NAN",0.001657884,0.3521004,0.2811463,0.2841337,0.4807397,"NAN",0.01160406,0.1110661,0.3846078,"NAN",-0.001657833,0.3789508,0.4339865,0.4187408,24.88607,24.74365,25.472,0.2104392,0.2063888,0.2274025
"2012-10-02 14:00:00",6057,13.81,0.3489102,0.3982855,0.3139263,0.3495402,-0.0009948019,"NAN",0.4042543,0.00809106,-0.004277644,0.3221501,0.4536297,0.422824,0.3804784,0.361345,-0.007726447,"NAN",0.387807,"NAN",0.001193745,0.3524583,0.2900511,0.2864366,0.4838716,"NAN",0.01160602,0.3656229,0.3872101,"NAN",-0.001226917,0.4018337,0.4347284,0.4194085,9.046451,10.32663,8.139406,9.062786,-0.02579322,"NAN",10.48138,0.2097849,-0.1109108,8.352627,11.76155,10.96284,9.864935,9.368853,-0.2003314,"NAN",10.05494,"NAN",0.03095141,9.138445,7.52038,7.426666,12.54565,"NAN",0.3009208,9.479769,10.03947,"NAN",-0.0318115,10.41862,11.2715,10.87429,0.3492144,0.3986285,0.3143925,0.3502094,-0.0009947334,"NAN",0.4052612,0.008290941,-0.003979652,0.3226834,0.4536803,0.4234288,0.3912618,0.375018,-0.0006631617,"NAN",0.3886534,"NAN",0.001657904,0.353462,0.2908462,0.2865349,0.4844903,"NAN",0.01160732,0.3667912,0.3873528,"NAN",-0.0009947822,0.4032714,0.4351086,0.4198533,0.3488199,0.3978934,0.3136726,0.3491685,-0.0009949129,"NAN",0.4035302,0.007957867,-0.004311002,0.3216462,0.4535984,0.4221747,0.3650851,0.347179,-0.01359587,"NAN",0.3869549,"NAN",0.0006632753,0.3514757,0.2891358,0.2861516,0.4834641,"NAN",0.01160522,0.3647356,0.3869513,"NAN",-0.001658033,0.3998829,0.4343669,0.4191144,24.88878,24.73687,25.472,0.2105166,0.2061966,0.2274025
"2012-10-02 14:10:00",6058,13.81,0.3490271,0.3986748,0.3144029,0.3498562,-0.0007959564,"NAN",0.4049098,0.008258051,-0.004012949,0.3222298,0.4535959,0.4223545,0.3867687,0.3666708,-0.003283316,"NAN",0.3883274,"NAN",0.000563801,0.3522758,0.2900256,0.2864438,0.4835086,"NAN",0.01154133,0.3674653,0.3866013,"NAN",-0.0008954466,0.4024209,0.4356851,0.419567,9.04948,10.33672,8.151764,9.070978,-0.02063756,"NAN",10.49838,0.2141147,-0.1040477,8.354696,11.76068,10.95067,10.02802,9.506937,-0.08512984,"NAN",10.06844,"NAN",0.01461823,9.133713,7.51972,7.426853,12.53623,"NAN",0.2992434,9.527536,10.02368,"NAN",-0.02321714,10.43385,11.2963,10.8784,0.3492248,0.3989622,0.3147426,0.3498982,-0.0003316485,"NAN",0.4049533,0.00862286,-0.003979673,0.3227023,0.4537069,0.4228402,0.3883704,0.369466,-0.0009949713,"NAN",0.3887021,"NAN",0.0009949425,0.3532148,0.2901999,0.2868744,0.4838737,"NAN",0.011608,0.3678026,0.3870326,"NAN",-0.0006632969,0.4029517,0.436129,0.4198657,0.3488932,0.3986394,0.3140694,0.3495564,-0.0009949575,"NAN",0.4046161,0.007959563,-0.004311417,0.3220218,0.4533634,0.4218546,0.3840478,0.3634857,-0.00663295,"NAN",0.3876959,"NAN",0.0003316394,0.3515463,0.2895212,0.2862048,0.4832118,"NAN",0.01127605,0.3671338,0.3863599,"NAN",-0.0009949575,0.4019579,0.4351215,0.4195238,24.88878,24.73552,25.47065,0.2105166,0.2061582,0.2273627
"2012-10-02 14:20:00",6059,13.8,0.3488315,0.3987498,0.3142037,0.349727,-0.0006301976,"NAN",0.4050186,0.008590603,-0.003947032,0.3226285,0.4536434,0.4218018,0.3895954,0.3718503,0.0005307199,"NAN",0.3886998,"NAN",-6.634014E-005,0.353276,0.2903557,0.286873,0.4829974,"NAN",0.01127724,0.3672068,0.3858473,"NAN",-0.000762873,0.4023983,0.4366612,0.4198781,9.044409,10.33866,8.146599,9.067629,-0.01633976,"NAN",10.5012,0.2227371,-0.1023387,8.365031,11.76191,10.93634,10.10131,9.64123,0.01376051,"NAN",10.07809,"NAN",-0.001720067,9.159646,7.528277,7.437981,12.52298,"NAN",0.292396,9.520834,10.00414,"NAN",-0.01977977,10.43326,11.32161,10.88646,0.348952,0.3990327,0.3147498,0.3499471,-0.0003316922,"NAN",0.4053416,0.008624289,-0.003648557,0.3230739,0.4540385,0.4221995,0.3904086,0.3738237,0.001658517,"NAN",0.3890818,"NAN",0,0.3539156,0.2905722,0.2872552,0.4832354,"NAN",0.01160867,0.3675274,0.3860713,"NAN",-0.0006633141,0.402688,0.4371851,0.4199297,0.3485796,0.3983433,0.3140793,0.3495868,-0.0006634069,"NAN",0.4046582,0.008291427,-0.003980441,0.3220681,0.4534161,0.4215458,0.3887021,0.3697976,-0.0006633141,"NAN",0.3880613,"NAN",-0.0003317034,0.3525596,0.2901999,0.28622,0.4829207,"NAN",0.01094567,0.3668458,0.3857396,"NAN",-0.0009950767,0.402011,0.436129,0.4196048,24.88607,24.73823,25.472,0.2104392,0.2062351,0.2274025
"2012-10-02 14:30:00",6060,13.79,0.3488045,0.3989607,0.314007,0.349866,-0.0007629618,"NAN",0.4059932,0.008425708,-0.003748444,0.3236601,0.4537942,0.421949,0.391298,0.3763706,0.00205668,"NAN",0.3893076,"NAN",-0.0005307556,0.3535481,0.2914168,0.2884645,0.483251,"NAN",0.01094679,0.3679448,0.3858246,"NAN",-0.0008956472,0.4028087,0.437772,0.4201909,9.043711,10.34413,8.141498,9.071233,-0.01978207,"NAN",10.52647,0.2184617,-0.09718968,8.391779,11.76582,10.94016,10.14546,9.758429,0.05332559,"NAN",10.09385,"NAN",-0.01376143,9.1667,7.555791,7.479244,12.52955,"NAN",0.2838283,9.53997,10.00355,"NAN",-0.02322234,10.4439,11.35041,10.89457,0.3492837,0.3990785,0.3141522,0.3499816,-0.0006634069,"NAN",0.4067084,0.008625085,-0.003648798,0.3244379,0.453815,0.4226318,0.392112,0.3788426,0.002322152,"NAN",0.3901216,"NAN",0,0.3536307,0.2922595,0.2899373,0.4836712,"NAN",0.01094729,0.3685588,0.3861408,"NAN",-0.0006634179,0.4033817,0.4385551,0.4209731,0.3486267,0.3987141,0.3137966,0.3496212,-0.0009952083,"NAN",0.4053416,0.008292723,-0.003980833,0.3230791,0.4537703,0.4215951,0.3900832,0.3738298,0.001658517,"NAN",0.3884247,"NAN",-0.0006634722,0.3532642,0.2902405,0.2872552,0.4829602,"NAN",0.01094621,0.3675274,0.3854458,"NAN",-0.0009952083,0.4023637,0.4371851,0.4199365,24.88878,24.73416,25.46929,0.2105166,0.2061198,0.2273229
"2012-10-02 14:40:00",6061,13.82,0.3486214,0.3996092,0.3137559,0.350081,-0.0009620342,"NAN",0.4069406,0.008227053,-0.003649096,0.3241724,0.4539476,0.4224327,0.3928418,0.3795061,0.00258754,"NAN",0.3904201,"NAN",-0.001028378,0.3534638,0.2930548,0.2906,0.483703,"NAN",0.01068187,0.3699178,0.3860734,"NAN",-0.0006634702,0.4033236,0.4388192,0.4210382,9.038963,10.36095,8.134989,9.076807,-0.02494362,"NAN",10.55103,0.213311,-0.09461378,8.405064,11.7698,10.9527,10.18548,9.839723,0.06708973,"NAN",10.1227,"NAN",-0.0266638,9.164514,7.59826,7.534612,12.54127,"NAN",0.2769595,9.591125,10.01,"NAN",-0.01720246,10.45725,11.37756,10.91654,0.3489825,0.3997458,0.3138274,0.3503166,-0.0006634785,"NAN",0.4073687,0.008293536,-0.003649056,0.3244353,0.454154,0.4229602,0.3934427,0.3808367,0.002985608,"NAN",0.3914523,"NAN",-0.0006634829,0.3539658,0.293921,0.2915988,0.4840076,"NAN",0.01094747,0.3712162,0.3861445,"NAN",-0.0006634648,0.4037196,0.4392228,0.4213088,0.3483201,0.3994058,0.3134936,0.3499777,-0.0009952243,"NAN",0.4063832,0.007961577,-0.003649156,0.3237775,0.4538105,0.4219751,0.3917866,0.3781852,0.002322129,"NAN",0.3894644,"NAN",-0.001326957,0.3526315,0.2922642,0.2896024,0.4833341,"NAN",0.01028376,0.3685647,0.3858048,"NAN",-0.0006634829,0.4030549,0.4385502,0.4206367,24.88878,24.73145,25.46522,0.2105166,0.206043,0.2272035
